datum,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent
2022-05-24,62.2,43,80
2022-05-25,57.2,34,83
2022-05-26,56.5,47,65
2022-05-27,66.5,52,79
2022-05-28,50,34,64
2022-05-29,52,36,68
2022-05-30,59.5,42,79
2022-05-31,54.2,31,82
2022-06-01,47.5,28,74
2022-06-02,51.8,37,69
2022-06-03,58.5,43,67
2022-06-04,72.5,47,97
2022-06-05,82,60,96
2022-06-06,68.5,44,94
2022-06-07,62.8,44,69
2022-06-08,78.5,46,93
2022-06-09,72.8,57,92
2022-06-10,66,40,94
2022-06-11,62.2,36,94
2022-06-12,56.5,29,81
2022-06-13,46.2,32,60
2022-06-14,47,30,70
2022-06-15,44.2,31,56
2022-06-16,48,27,78
2022-06-17,46,35,58
2022-06-18,49.8,29,72
2022-06-19,50.5,34,69
2022-06-20,62.8,54,70
2022-06-21,61,34,96
2022-06-22,58.2,48,76
2022-06-23,70.5,43,96
2022-06-24,79.5,50,96
2022-06-25,71.5,51,97
2022-06-26,65.8,56,80
2022-06-27,79.2,60,92
2022-06-28,56.5,36,77
2022-06-29,51.2,45,61
2022-06-30,60.5,35,85
2022-07-01,70,52,86
2022-07-02,57,37,86
2022-07-03,56.5,35,87
2022-07-04,48,35,62
2022-07-05,44.8,30,64
2022-07-06,49.8,36,65
2022-07-07,69.8,61,78
2022-07-08,52,42,63
2022-07-09,65.8,41,80
2022-07-10,60.2,46,74
2022-07-11,62.8,49,81
2022-07-12,61,40,87
2022-07-13,50.5,24,79
2022-07-14,52.2,36,67
2022-07-15,50.5,32,67
2022-07-16,48.8,31,72
2022-07-17,40.5,22,57
2022-07-18,40.2,20,70
2022-07-19,42.2,20,70
2022-07-20,49,27,68
2022-07-21,68.5,44,96
2022-07-22,62,42,83
2022-07-23,64.2,52,91
2022-07-24,48.2,36,61
2022-07-25,51.8,30,76
2022-07-26,52.2,41,67
2022-07-27,53.5,40,70
2022-07-28,44.8,34,57
2022-07-29,49,44,57
2022-07-30,50.2,30,73
2022-07-31,47.8,27,71
2022-08-01,57,52,65
2022-08-02,52.8,34,72
2022-08-03,51.8,31,76
2022-08-04,49.8,26,77
2022-08-05,58.8,50,67
2022-08-06,47.8,31,67
2022-08-07,39.8,28,53
2022-08-08,38.2,25,52
2022-08-09,37.8,25,54
2022-08-10,37.2,24,50
2022-08-11,41.2,24,60
2022-08-12,41.5,24,59
2022-08-13,47,28,70
2022-08-14,50,30,70
2022-08-15,60.8,51,74
2022-08-16,68.2,48,90
2022-08-17,68,53,85
2022-08-18,73,52,92
2022-08-19,54.5,40,68
2022-08-20,57.8,35,86
2022-08-21,60.2,38,79
2022-08-22,51.8,32,71
2022-08-23,54.2,33,71
2022-08-24,51,29,73
2022-08-25,55,39,71
2022-08-26,64.8,46,79
2022-08-27,68,60,76
2022-08-28,58,44,73
2022-08-29,48,36,63
2022-08-30,48,32,64
2022-08-31,66.2,58,84
2022-09-01,69,49,86
2022-09-02,58.2,32,84
2022-09-03,78.2,68,90
2022-09-04,79,56,98
2022-09-05,69.2,44,92
2022-09-06,70.8,46,94
2022-09-07,76.8,57,95
2022-09-08,75.2,60,96
2022-09-09,82.8,64,93
2022-09-10,86.8,76,94
2022-09-11,78,59,90
2022-09-12,78.5,50,99
2022-09-13,86.8,78,96
2022-09-14,89.2,80,97
2022-09-15,85.2,62,98
2022-09-16,78.2,55,88
2022-09-17,75.5,60,84
2022-09-18,76.8,61,83
2022-09-19,79.8,62,89
2022-09-20,80.8,70,89
2022-09-21,78.8,55,97
2022-09-22,79.5,50,97
2022-09-23,82.5,60,95
2022-09-24,86.8,67,98
2022-09-25,88.8,79,97
2022-09-26,82.2,61,96
2022-09-27,86.2,81,94
2022-09-28,79.8,59,95
2022-09-29,85.2,70,96
2022-09-30,83.5,62,96
2022-10-01,91.5,85,95
2022-10-02,94,88,98
2022-10-03,86.8,63,99
2022-10-04,88.8,70,98
2022-10-05,84.5,68,100
2022-10-06,79.2,50,92
2022-10-07,88,68,97
2022-10-08,87.2,68,97
2022-10-09,81.2,46,98
2022-10-10,88.8,67,97
2022-10-11,80.2,63,93
2022-10-12,83.5,72,94
2022-10-13,95.2,89,98
2022-10-14,94,87,99
2022-10-15,92.8,86,98
2022-10-16,91.5,76,98
2022-10-17,88.8,65,99
2022-10-18,95.8,90,99
2022-10-19,92.5,84,99
2022-10-20,93.5,84,98
2022-10-21,94.2,90,99
2022-10-22,90.8,73,99
2022-10-23,89.8,75,100
2022-10-24,86.8,69,99
2022-10-25,89.2,74,97
2022-10-26,92.2,80,99
2022-10-27,94,85,100
2022-10-28,88.8,66,99
2022-10-29,90.2,67,99
2022-10-30,90.5,71,98
2022-10-31,91.2,76,97
2022-11-01,86.2,64,96
2022-11-02,84.5,55,97
2022-11-03,92.2,78,99
2022-11-04,89.5,81,97
2022-11-05,85.2,73,92
2022-11-06,87,68,99
2022-11-07,80.5,76,83
2022-11-08,84.8,66,99
2022-11-09,90.5,83,98
2022-11-10,87.2,68,98
2022-11-11,99,98,100
2022-11-12,98.5,96,100
2022-11-13,90.8,78,100
2022-11-14,90,80,100
2022-11-15,88.5,82,95
2022-11-16,91.8,79,98
2022-11-17,88.2,80,97
2022-11-18,89.2,78,99
2022-11-19,94.8,93,97
2022-11-20,90.8,83,95
2022-11-21,80.5,64,90
2022-11-22,86.2,73,93
2022-11-23,87.8,68,97
2022-11-24,86.2,72,92
2022-11-25,89.8,81,99
2022-11-26,91.5,78,99
2022-11-27,93.5,86,99
