X,Y,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.5,Rho.6,Gamma,Feuchteind,Gamma_rho1
452787.43134,5472377.78069,68.20000,138,146,76,42,30,55,1.16000,119,0.00841
452785.67233,5472376.45322,68.20000,144,138,68,35,34,42,1.15000,125,0.00799
452783.83337,5472375.06540,68.20000,125,133,68,34,36,36,1.15000,109,0.00920
452782.01403,5472373.81789,68.20000,123,126,68,32,39,33,1.14000,108,0.00927
452780.25502,5472372.49041,68.20000,110,134,69,31,40,33,1.14000,97,0.01036
452778.33611,5472371.04226,68.20000,115,124,69,30,42,35,1.14000,100,0.00991
452776.43681,5472369.73440,68.20000,102,113,70,31,47,40,1.14000,89,0.01118
452774.67780,5472368.40693,68.20000,104,84,73,41,50,45,1.14000,92,0.01096
452772.85846,5472367.15941,68.20000,104,77,78,49,51,47,1.14000,91,0.01096
452770.93954,5472365.71126,68.20000,124,83,93,57,51,44,1.14000,109,0.00919
452769.18054,5472364.38379,68.20000,138,97,112,54,48,43,1.14000,122,0.00826
452767.34158,5472362.99598,68.20000,161,112,134,55,48,39,1.13000,143,0.00702
452765.42266,5472361.54783,68.30000,156,139,155,56,46,41,1.13000,138,0.00724
452763.66366,5472360.22035,68.30000,156,158,176,57,43,38,1.14000,136,0.00731
452761.84431,5472358.97283,68.30000,163,181,183,55,45,39,1.15000,142,0.00706
452760.16526,5472357.70570,68.30000,177,170,173,51,45,37,1.16000,153,0.00655
452758.56617,5472356.49891,68.30000,179,167,144,50,44,39,1.17000,154,0.00654
452756.90673,5472355.37207,68.30000,180,142,118,50,42,40,1.15000,156,0.00639
452755.22768,5472354.10494,68.30000,166,137,90,49,45,41,1.14000,146,0.00687
452753.56825,5472352.97810,68.30000,170,119,67,47,47,40,1.12000,151,0.00659
452752.04911,5472351.83164,68.30000,147,112,50,45,51,39,1.12000,131,0.00762
452750.60992,5472350.74553,68.30000,144,115,39,47,57,38,1.13000,128,0.00785
452748.99121,5472349.39844,68.30000,128,113,32,49,61,36,1.14000,113,0.00891
452747.67271,5472348.15242,68.30000,130,117,26,50,59,36,1.15000,113,0.00885
452746.73585,5472346.56696,68.30000,128,109,21,57,61,41,1.16000,111,0.00906
452745.91968,5472344.82159,68.40000,140,110,18,66,59,50,1.15000,122,0.00821
452745.60434,5472343.07772,68.40000,144,124,15,76,61,59,1.14000,126,0.00792
452746.10966,5472341.57670,68.50000,172,129,15,77,50,58,1.14000,151,0.00663
452746.53503,5472340.01534,68.50000,171,160,18,72,48,54,1.14000,149,0.00667
452747.56081,5472338.65611,68.50000,194,149,23,66,48,45,1.15000,169,0.00593
452748.40556,5472337.53674,68.60000,174,152,27,59,56,44,1.15000,151,0.00661
452749.39061,5472336.39776,68.60000,172,130,30,60,67,42,1.16000,149,0.00674
452750.33494,5472335.47903,68.70000,159,134,38,61,69,49,1.16000,137,0.00730
452751.15858,5472334.72021,68.70000,168,127,49,73,68,56,1.14000,146,0.00679
452752.26282,5472333.92215,68.80000,168,136,62,81,59,59,1.13000,148,0.00673
452753.54658,5472333.38507,68.80000,167,152,75,83,54,57,1.13000,148,0.00677
452754.92991,5472333.04863,68.80000,182,175,100,82,51,56,1.12000,162,0.00615
452756.51237,5472333.11345,68.90000,197,168,113,79,48,51,1.11000,177,0.00563
452758.07373,5472333.53882,68.90000,208,165,120,76,53,49,1.12000,186,0.00538
452759.29416,5472334.08337,68.90000,215,148,98,73,50,48,1.13000,191,0.00526
452760.59455,5472334.68826,68.90000,206,148,89,69,51,50,1.12000,183,0.00544
452762.17403,5472335.75476,69.00000,195,139,74,70,46,48,1.12000,174,0.00574
452763.77313,5472336.96155,69.00000,175,143,65,63,47,43,1.12000,156,0.00640
452765.61208,5472338.34936,69.00000,174,146,56,64,50,40,1.12000,155,0.00644
452767.53100,5472339.79752,69.00000,172,138,55,60,53,39,1.13000,153,0.00657
452769.35034,5472341.04503,69.00000,167,129,60,58,58,39,1.13000,148,0.00677
452771.20892,5472342.57314,69.00000,165,126,67,56,57,40,1.13000,145,0.00685
452773.12783,5472344.02129,69.00000,162,138,84,58,65,46,1.13000,143,0.00698
452775.04675,5472345.46945,69.00000,160,165,90,66,64,47,1.13000,141,0.00706
452776.90532,5472346.99755,68.90000,181,188,93,72,63,51,1.13000,160,0.00624
452778.90419,5472348.50604,69.00000,197,204,81,82,60,49,1.14000,173,0.00579
452780.90306,5472350.01453,69.00000,209,207,87,83,64,49,1.13000,184,0.00541
452782.90193,5472351.52303,69.00000,201,211,92,83,63,50,1.13000,178,0.00562
452784.82084,5472352.97118,69.00000,194,215,112,80,58,47,1.12000,173,0.00577
452786.73976,5472354.41933,69.00000,202,217,114,82,51,48,1.11000,183,0.00550
452788.55910,5472355.66685,68.90000,206,225,121,77,52,44,1.09000,188,0.00529
452790.47802,5472357.11500,68.90000,210,222,116,71,54,43,1.10000,191,0.00524
452792.45727,5472358.48319,68.90000,207,228,123,63,58,40,1.10000,188,0.00531
452794.31585,5472360.01130,68.90000,213,217,128,67,56,42,1.11000,192,0.00521
452796.23476,5472361.45945,68.90000,212,225,134,74,53,47,1.12000,190,0.00528
452798.23363,5472362.96794,69.00000,213,214,140,78,52,48,1.12000,190,0.00526
452799.99264,5472364.29541,69.00000,205,215,159,82,54,45,1.12000,182,0.00546
452801.91155,5472365.74357,69.00000,206,206,158,74,58,46,1.13000,183,0.00549
452803.77013,5472367.27167,69.00000,214,206,158,72,56,47,1.13000,189,0.00528
452805.64981,5472368.43923,69.00000,226,205,151,69,53,49,1.14000,198,0.00504
452807.56872,5472369.88739,69.00000,232,209,150,77,48,50,1.14000,203,0.00491
452809.40769,5472371.27520,69.00000,222,217,145,70,47,56,1.14000,195,0.00514
452811.32660,5472372.72335,69.00000,220,247,131,58,46,55,1.14000,192,0.00518
452813.02527,5472374.13077,69.00000,215,277,127,38,45,51,1.15000,187,0.00535
452814.94418,5472375.57892,69.00000,216,281,125,32,44,50,1.15000,187,0.00532
452816.76353,5472376.82644,69.00000,215,260,124,28,43,49,1.17000,184,0.00544
452806.45143,5472388.49536,68.30000,126,67,60,32,37,31,1.15000,110,0.00913
452804.69242,5472387.16789,68.30000,128,69,61,35,40,28,1.14000,112,0.00891
452802.71317,5472385.79969,68.30000,125,72,58,39,45,30,1.13000,111,0.00904
452800.85459,5472384.27159,68.30000,124,77,55,47,44,34,1.12000,110,0.00903
452798.93568,5472382.82344,68.40000,119,85,50,51,43,41,1.12000,107,0.00941
452797.07710,5472381.29533,68.30000,127,98,52,56,40,45,1.12000,113,0.00882
452795.15818,5472379.84718,68.30000,144,104,64,53,42,45,1.13000,127,0.00785
452793.37956,5472378.37941,68.30000,169,114,70,51,41,43,1.13000,150,0.00669
452791.46065,5472376.93126,68.30000,192,112,78,51,42,43,1.14000,169,0.00594
452789.54173,5472375.48311,68.30000,189,121,81,52,40,44,1.17000,162,0.00619
452787.56248,5472374.11491,68.30000,172,113,96,52,40,44,1.17000,147,0.00680
452785.64356,5472372.66676,68.30000,159,110,99,50,42,42,1.16000,138,0.00730
452783.88456,5472371.33929,68.30000,160,99,98,48,41,43,1.16000,137,0.00725
452781.96564,5472369.89114,68.30000,178,97,89,46,40,44,1.16000,154,0.00652
452780.18702,5472368.42337,68.30000,184,94,84,46,40,42,1.14000,161,0.00620
452778.42802,5472367.09590,68.30000,198,94,76,43,42,40,1.14000,173,0.00576
452776.66901,5472365.76842,68.30000,176,92,69,44,46,35,1.15000,153,0.00653
452774.78933,5472364.60086,68.30000,158,93,70,42,50,37,1.16000,136,0.00734
452772.95037,5472363.21305,68.30000,139,95,80,49,54,36,1.16000,119,0.00835
452771.19136,5472361.88558,68.30000,152,109,86,55,50,39,1.16000,131,0.00763
452769.59227,5472360.67878,68.30000,166,133,95,62,44,40,1.16000,143,0.00699
452767.71258,5472359.51122,68.30000,193,160,97,73,39,42,1.14000,169,0.00591
452765.93396,5472358.04345,68.30000,199,190,106,76,43,44,1.13000,175,0.00568
452764.17496,5472356.71598,68.40000,240,210,115,87,45,41,1.13000,213,0.00471
452762.41595,5472355.38851,68.40000,288,221,116,79,46,40,1.13000,256,0.00392
452760.65695,5472354.06103,68.40000,311,204,103,70,43,39,1.13000,275,0.00363
452758.81799,5472352.67322,68.40000,313,184,92,55,40,37,1.13000,277,0.00361
452757.37880,5472351.58711,68.40000,272,161,82,47,38,38,1.13000,241,0.00415
452755.63941,5472350.39993,68.40000,260,155,69,44,38,38,1.12000,231,0.00431
452754.04032,5472349.19314,68.40000,221,139,50,40,38,41,1.12000,198,0.00507
452752.52118,5472348.04668,68.40000,199,125,41,43,38,39,1.12000,178,0.00563
452751.14233,5472346.88061,68.40000,191,107,41,48,39,42,1.13000,169,0.00592
452749.80421,5472345.49430,68.40000,201,106,40,53,42,39,1.14000,176,0.00567
452748.94731,5472343.96918,68.40000,203,110,40,59,43,39,1.15000,176,0.00567
452748.41173,5472342.18458,68.50000,187,115,40,62,40,37,1.15000,163,0.00615
452748.51727,5472340.38186,68.50000,169,117,39,64,42,41,1.15000,147,0.00680
452748.82346,5472338.47957,68.50000,168,120,41,64,43,47,1.14000,147,0.00679
452749.26993,5472336.55767,68.60000,170,126,43,68,44,48,1.14000,149,0.00671
452750.23686,5472334.77756,68.60000,176,129,47,67,42,52,1.12000,157,0.00636
452751.16307,5472333.21769,68.70000,176,125,53,61,43,48,1.12000,157,0.00636
452752.42870,5472332.03948,68.70000,192,128,63,54,49,47,1.12000,171,0.00583
452753.87387,5472331.12224,68.70000,186,116,77,54,54,45,1.13000,165,0.00608
452755.49856,5472330.46598,68.80000,175,115,104,60,56,47,1.13000,154,0.00646
452757.26204,5472330.29094,68.80000,157,111,104,61,56,47,1.14000,138,0.00726
452758.92447,5472330.41610,68.80000,157,116,92,63,59,43,1.14000,137,0.00726
452760.58540,5472331.04210,68.90000,180,137,64,58,64,42,1.14000,158,0.00633
452762.18599,5472331.74806,68.90000,197,154,53,63,60,45,1.13000,174,0.00574
452763.74585,5472332.67426,68.90000,204,160,41,65,54,49,1.13000,181,0.00554
452765.26499,5472333.82071,68.90000,190,149,31,75,54,47,1.13000,169,0.00595
452766.86409,5472335.02751,68.90000,198,142,27,78,59,46,1.12000,176,0.00566
452768.62309,5472336.35498,68.90000,210,164,26,80,60,47,1.12000,187,0.00533
452770.52239,5472337.66284,68.90000,222,187,24,77,59,48,1.12000,199,0.00505
452772.38096,5472339.19094,68.90000,205,195,20,75,58,48,1.12000,182,0.00546
452774.29988,5472340.63910,68.90000,192,208,18,73,58,49,1.13000,169,0.00589
452776.15845,5472342.16720,68.90000,191,203,17,76,59,49,1.13000,168,0.00592
452778.23728,5472343.73603,68.90000,201,201,20,75,61,47,1.13000,178,0.00562
452780.15619,5472345.18418,68.90000,216,186,27,76,70,45,1.13000,191,0.00523
452782.17467,5472346.83297,68.90000,218,174,32,73,76,50,1.12000,195,0.00514
452784.15393,5472348.20117,68.90000,217,166,51,80,82,58,1.11000,197,0.00512
452786.29309,5472349.69004,68.90000,211,165,71,92,80,64,1.11000,190,0.00526
452788.47149,5472351.45951,68.90000,219,168,135,101,75,66,1.11000,197,0.00507
452790.55031,5472353.02834,68.90000,231,193,140,103,77,68,1.12000,206,0.00485
452792.40889,5472354.55644,68.90000,236,192,140,102,83,65,1.13000,208,0.00479
452794.60839,5472355.96537,68.90000,241,216,84,98,89,64,1.13000,213,0.00469
452796.68721,5472357.53420,68.90000,239,207,71,103,87,67,1.14000,210,0.00477
452798.70570,5472359.18298,68.90000,233,215,61,112,82,71,1.15000,203,0.00494
452800.78452,5472360.75181,68.90000,231,200,69,116,71,74,1.16000,200,0.00502
452802.70344,5472362.19996,69.00000,241,214,84,114,64,69,1.17000,207,0.00485
452804.90294,5472363.60888,69.00000,261,212,91,104,55,65,1.17000,223,0.00448
452806.82185,5472365.05704,69.00000,258,214,100,92,54,58,1.17000,220,0.00453
452808.84034,5472366.70582,69.00000,243,188,96,79,52,51,1.17000,207,0.00481
452810.75925,5472368.15397,69.00000,229,168,102,66,48,45,1.16000,196,0.00507
452812.83808,5472369.72280,69.00000,236,139,94,60,43,44,1.16000,203,0.00492
452814.59708,5472371.05027,69.00000,219,131,86,55,40,41,1.16000,188,0.00530
452816.51600,5472372.49842,69.00000,207,119,67,52,44,38,1.15000,180,0.00556
452818.49525,5472373.86662,69.00000,189,113,61,51,47,40,1.14000,165,0.00603
452820.41417,5472375.31477,69.10000,186,109,62,50,50,41,1.13000,165,0.00608
452810.39162,5472383.93943,68.60000,142,106,72,35,38,35,1.15000,123,0.00810
452808.47271,5472382.49128,68.60000,135,110,73,39,46,33,1.15000,117,0.00852
452806.47384,5472380.98279,68.60000,138,104,78,45,56,35,1.16000,119,0.00841
452804.55492,5472379.53464,68.60000,138,105,84,51,60,36,1.17000,118,0.00848
452802.51533,5472378.24640,68.60000,144,105,99,58,60,41,1.17000,123,0.00813
452800.59641,5472376.79825,68.60000,155,123,94,54,57,39,1.17000,132,0.00755
452798.67750,5472375.35009,68.60000,167,145,90,48,53,42,1.18000,141,0.00707
452796.59867,5472373.78126,68.60000,192,172,75,39,55,42,1.19000,162,0.00620
452794.90001,5472372.37384,68.60000,203,171,72,37,52,48,1.17000,173,0.00576
452792.92075,5472371.00564,68.50000,202,162,68,36,51,60,1.16000,174,0.00574
452791.16175,5472369.67817,68.50000,178,145,65,36,48,60,1.16000,154,0.00652
452789.38313,5472368.21040,68.50000,162,155,64,37,47,56,1.15000,141,0.00710
452787.52455,5472366.68229,68.50000,171,160,64,37,47,43,1.13000,150,0.00661
452785.82589,5472365.27487,68.50000,170,173,63,37,48,41,1.14000,149,0.00671
452783.90697,5472363.82672,68.50000,179,171,65,42,51,38,1.14000,156,0.00637
452782.14797,5472362.49924,68.50000,176,173,73,46,56,36,1.15000,153,0.00653
452780.30901,5472361.11143,68.50000,175,168,76,55,62,37,1.15000,152,0.00657
452778.55000,5472359.78396,68.50000,172,164,89,57,60,39,1.16000,148,0.00674
452776.79100,5472358.45649,68.50000,182,161,80,67,57,41,1.16000,157,0.00637
452775.03199,5472357.12901,68.50000,197,158,74,62,49,42,1.17000,168,0.00594
452773.03312,5472355.62052,68.50000,201,148,49,62,54,44,1.18000,170,0.00587
452771.27412,5472354.29305,68.60000,186,135,40,50,56,46,1.19000,157,0.00640
452769.57545,5472352.88562,68.60000,169,115,37,53,56,47,1.18000,144,0.00698
452767.65654,5472351.43747,68.60000,147,112,42,50,54,47,1.17000,126,0.00796
452766.11778,5472350.15072,68.60000,134,111,53,58,57,53,1.16000,115,0.00866
452764.27882,5472348.76291,68.60000,146,134,63,58,66,52,1.14000,128,0.00781
452762.61939,5472347.63607,68.60000,168,135,77,65,65,56,1.13000,149,0.00673
452760.86038,5472346.30860,68.60000,175,151,88,70,67,57,1.13000,154,0.00646
452759.18133,5472345.04147,68.60000,171,139,104,83,58,63,1.14000,150,0.00667
452757.64258,5472343.75472,68.60000,165,156,117,80,60,63,1.13000,146,0.00685
452756.02387,5472342.40763,68.60000,190,147,154,81,51,58,1.12000,169,0.00589
452754.38554,5472340.92025,68.60000,190,148,163,68,49,53,1.12000,169,0.00589
452753.30839,5472339.35440,68.70000,213,139,167,70,44,47,1.13000,189,0.00531
452752.39265,5472337.40840,68.70000,201,141,145,60,42,42,1.13000,177,0.00562
452752.19799,5472335.50462,68.80000,203,143,135,63,41,41,1.13000,179,0.00557
452752.34427,5472333.48165,68.80000,177,134,126,55,44,40,1.14000,155,0.00644
452752.69117,5472331.35912,68.80000,186,123,112,54,50,42,1.15000,162,0.00618
452753.61738,5472329.79925,68.80000,190,107,102,48,52,42,1.14000,166,0.00600
452754.86340,5472328.48075,68.80000,187,102,93,51,54,41,1.13000,166,0.00604
452756.38852,5472327.62385,68.90000,163,104,88,59,50,38,1.13000,145,0.00693
452758.11278,5472327.16822,68.90000,169,107,87,62,51,37,1.13000,150,0.00669
452760.01506,5472327.47440,68.90000,162,108,86,66,51,38,1.13000,144,0.00698
452761.35617,5472327.85904,68.90000,181,108,86,69,56,40,1.12000,161,0.00619
452762.67618,5472328.60423,69.00000,166,127,85,69,62,43,1.13000,147,0.00681
452764.13647,5472329.32980,69.00000,177,137,85,71,63,48,1.12000,157,0.00633
452765.83663,5472330.23639,69.00000,171,139,85,72,64,50,1.11000,154,0.00649
452767.43572,5472331.44318,69.00000,174,126,85,82,63,50,1.10000,159,0.00632
452769.19473,5472332.77065,69.00000,170,138,86,81,62,52,1.10000,154,0.00647
452771.13326,5472334.35910,69.00000,181,154,96,81,59,55,1.10000,164,0.00608
452773.21208,5472335.92793,69.00000,189,159,108,80,57,56,1.10000,172,0.00582
452775.27129,5472337.35647,69.00000,192,164,126,80,54,55,1.11000,174,0.00578
452777.35011,5472338.92530,69.00000,197,171,120,77,53,50,1.11000,177,0.00563
452779.34898,5472340.43379,69.00000,207,178,116,76,51,51,1.10000,189,0.00531
452781.28751,5472342.02224,69.00000,218,167,108,74,53,52,1.09000,200,0.00500
452783.36634,5472343.59107,69.00000,211,158,115,76,58,59,1.09000,195,0.00517
452785.44516,5472345.15990,69.10000,226,164,121,68,78,60,1.09000,208,0.00482
452787.42441,5472346.52809,69.10000,228,182,128,69,95,64,1.10000,207,0.00482
452789.50324,5472348.09692,69.10000,251,215,152,68,100,64,1.11000,226,0.00442
452791.58206,5472349.66576,69.10000,251,230,169,80,92,69,1.11000,226,0.00442
452793.50098,5472351.11391,69.10000,277,235,208,87,80,69,1.11000,248,0.00401
452795.33994,5472352.50172,69.10000,281,221,202,98,76,68,1.12000,250,0.00399
452797.31919,5472353.86992,69.10000,290,227,208,104,68,61,1.12000,259,0.00386
452799.07819,5472355.19739,69.10000,268,236,189,106,66,56,1.12000,239,0.00418
452800.73763,5472356.32422,69.10000,260,237,195,98,70,53,1.14000,228,0.00438
452802.31711,5472357.39072,69.10000,246,215,187,86,66,57,1.14000,216,0.00463
452803.79702,5472358.25659,69.10000,247,189,192,82,61,55,1.13000,218,0.00457
452805.07630,5472359.22202,69.10000,225,168,185,88,49,65,1.14000,197,0.00507
452806.37519,5472360.32775,69.10000,208,163,194,82,44,59,1.14000,182,0.00548
452807.83399,5472361.55416,69.10000,195,156,167,76,39,61,1.14000,171,0.00585
452809.37275,5472362.84090,69.20000,200,178,150,61,40,47,1.14000,175,0.00570
452811.29166,5472364.28906,69.20000,207,168,114,55,44,46,1.14000,182,0.00551
452813.37049,5472365.85789,69.20000,192,157,96,56,46,41,1.13000,171,0.00589
452815.38897,5472367.50667,69.20000,165,114,80,53,45,45,1.11000,148,0.00673
452817.46779,5472369.07550,69.10000,130,111,76,53,44,44,1.11000,117,0.00854
452819.44705,5472370.44370,69.10000,131,109,75,49,44,45,1.11000,118,0.00847
452821.36596,5472371.89185,69.10000,125,135,76,49,45,40,1.11000,113,0.00888
452813.02396,5472381.28280,68.80000,175,140,73,44,35,32,1.16000,150,0.00663
452811.14428,5472380.11524,68.80000,180,141,71,43,42,32,1.15000,156,0.00639
452809.28570,5472378.58713,68.70000,185,127,71,49,47,32,1.14000,162,0.00616
452807.44674,5472377.19932,68.80000,186,134,71,51,55,35,1.13000,165,0.00608
452805.52783,5472375.75117,68.70000,193,152,73,58,52,39,1.13000,170,0.00585
452803.66925,5472374.22306,68.80000,213,171,74,62,53,40,1.15000,185,0.00540
452801.91025,5472372.89559,68.80000,219,177,75,66,53,40,1.16000,188,0.00530
452799.93099,5472371.52740,68.80000,216,171,75,62,60,38,1.16000,185,0.00537
452798.01208,5472370.07925,68.70000,204,150,74,62,59,40,1.14000,178,0.00559
452796.17312,5472368.69143,68.70000,188,134,73,63,56,47,1.13000,166,0.00601
452794.25420,5472367.24328,68.70000,179,136,72,71,54,48,1.13000,159,0.00631
452792.17538,5472365.67445,68.70000,179,143,70,74,53,51,1.11000,161,0.00620
452790.13578,5472364.38621,68.70000,203,174,68,75,52,53,1.11000,182,0.00547
452788.05696,5472362.81738,68.70000,229,164,65,74,50,62,1.12000,204,0.00489
452786.29795,5472361.48991,68.70000,236,167,64,70,49,65,1.12000,211,0.00475
452784.53895,5472360.16243,68.70000,239,143,62,69,46,66,1.12000,213,0.00469
452782.62003,5472358.71428,68.70000,219,141,59,62,47,57,1.14000,193,0.00521
452780.86103,5472357.38681,68.70000,208,149,56,58,46,52,1.15000,181,0.00553
452778.96173,5472356.07895,68.70000,185,160,58,53,45,43,1.15000,160,0.00622
452777.04282,5472354.63080,68.70000,178,155,66,51,43,41,1.15000,154,0.00646
452775.28381,5472353.30333,68.80000,162,134,81,49,43,44,1.14000,142,0.00704
452773.42524,5472351.77522,68.80000,145,110,109,46,52,45,1.13000,128,0.00779
452771.50632,5472350.32707,68.80000,147,107,123,50,53,44,1.12000,131,0.00762
452769.74732,5472348.99960,68.80000,140,106,137,52,56,41,1.13000,124,0.00807
452767.68811,5472347.57106,68.80000,143,105,136,63,53,42,1.13000,126,0.00790
452765.92910,5472346.24359,68.80000,132,103,143,66,51,44,1.14000,117,0.00864
452764.01019,5472344.79544,68.80000,139,103,144,72,46,51,1.15000,121,0.00827
452762.25118,5472343.46796,68.80000,149,113,164,69,45,54,1.15000,129,0.00772
452760.49218,5472342.14049,68.80000,156,123,161,68,46,54,1.15000,136,0.00737
452758.65322,5472340.75268,68.80000,162,130,163,65,49,47,1.17000,138,0.00722
452756.85498,5472339.14462,68.80000,157,133,138,65,45,49,1.19000,132,0.00758
452755.43691,5472337.69796,68.80000,166,153,131,64,45,50,1.19000,140,0.00717
452754.24058,5472335.79119,68.80000,163,164,117,60,44,54,1.18000,138,0.00724
452753.68538,5472333.86630,68.80000,161,155,115,54,43,48,1.18000,136,0.00733
452753.45149,5472331.68192,68.80000,155,128,111,53,44,46,1.16000,134,0.00748
452753.89797,5472329.76002,68.80000,148,110,127,58,43,43,1.12000,132,0.00757
452754.56469,5472327.87884,68.90000,155,110,120,60,48,43,1.12000,138,0.00723
452755.47128,5472326.17868,68.90000,152,126,120,58,45,43,1.13000,135,0.00743
452756.47744,5472324.67916,68.90000,181,127,103,56,54,45,1.13000,160,0.00624
452757.56356,5472323.23997,69.00000,195,141,103,62,56,50,1.14000,171,0.00585
452758.80958,5472321.92147,69.00000,208,126,103,60,57,54,1.15000,181,0.00553
452760.05560,5472320.60296,69.10000,186,139,102,65,50,52,1.16000,160,0.00624
452761.28201,5472319.14416,69.10000,176,121,102,59,44,47,1.16000,152,0.00659
452762.48880,5472317.54507,69.10000,175,135,99,58,41,42,1.16000,152,0.00663
452763.57492,5472316.10588,69.20000,180,127,100,55,38,41,1.16000,155,0.00644
452828.05768,5472365.02022,69.40000,160,116,117,60,30,39,1.16000,138,0.00725
452826.13877,5472363.57207,69.40000,156,114,121,56,41,37,1.15000,135,0.00737
452824.44010,5472362.16464,69.40000,147,103,101,46,46,41,1.16000,127,0.00789
452822.36128,5472360.59581,69.40000,134,100,90,45,56,43,1.16000,115,0.00866
452820.60227,5472359.26834,69.40000,135,111,77,48,57,45,1.15000,117,0.00852
452818.68336,5472357.82019,69.40000,145,129,51,55,58,45,1.15000,126,0.00793
452816.86401,5472356.57267,69.40000,162,151,44,60,55,47,1.15000,141,0.00710
452814.92549,5472354.98423,69.40000,183,153,52,72,53,46,1.13000,162,0.00617
452812.84666,5472353.41540,69.40000,196,151,68,76,55,49,1.13000,174,0.00577
452810.92775,5472351.96725,69.30000,207,153,106,83,59,49,1.13000,183,0.00546
452809.00883,5472350.51910,69.30000,201,156,138,77,61,53,1.13000,178,0.00562
452807.08992,5472349.07094,69.30000,197,169,147,78,67,48,1.12000,175,0.00569
452804.95075,5472347.58207,69.30000,199,166,133,78,71,45,1.13000,176,0.00568
452802.97150,5472346.21387,69.30000,199,182,110,83,77,43,1.14000,174,0.00573
452800.95302,5472344.56509,69.30000,213,183,105,93,71,54,1.14000,187,0.00535
452798.87419,5472342.99626,69.20000,228,193,112,96,68,58,1.14000,200,0.00500
452796.79537,5472341.42743,69.30000,267,222,110,111,63,60,1.15000,233,0.00431
452794.93679,5472339.89932,69.30000,279,236,120,106,65,55,1.14000,244,0.00409
452792.63772,5472338.28977,69.30000,281,234,106,106,64,53,1.12000,251,0.00399
452790.71881,5472336.84161,69.30000,264,201,106,93,72,52,1.11000,238,0.00420
452788.79989,5472335.39346,69.30000,255,199,96,89,73,47,1.10000,232,0.00431
452787.20080,5472334.18667,69.20000,252,203,100,86,69,51,1.09000,232,0.00433
452785.42218,5472332.71890,69.30000,253,220,104,86,57,52,1.09000,233,0.00431
452783.82308,5472331.51211,69.30000,253,234,119,88,52,60,1.10000,231,0.00435
452782.06408,5472330.18464,69.30000,240,253,111,107,51,65,1.10000,219,0.00458
452780.30507,5472328.85717,69.30000,240,276,101,102,45,67,1.09000,219,0.00454
452778.32582,5472327.48897,69.30000,265,267,76,110,45,58,1.10000,241,0.00415
452776.54720,5472326.02120,69.30000,287,236,61,90,41,46,1.10000,261,0.00383
452774.78820,5472324.69373,69.30000,261,183,48,84,48,43,1.10000,238,0.00421
452772.86928,5472323.24558,69.30000,228,147,38,68,46,48,1.10000,206,0.00482
452771.17062,5472321.83815,69.20000,187,131,38,61,49,51,1.12000,167,0.00599
452769.51268,5472320.21047,69.20000,177,128,39,62,45,50,1.12000,158,0.00633
452768.23639,5472318.24336,69.20000,167,144,40,60,49,45,1.13000,148,0.00677
452825.84772,5472367.11716,69.30000,154,121,145,46,53,44,1.15000,134,0.00747
452823.54865,5472365.50761,69.30000,149,115,123,46,59,43,1.14000,130,0.00765
452821.46982,5472363.93878,69.30000,147,109,109,46,73,46,1.14000,129,0.00776
452819.55091,5472362.49063,69.30000,135,100,94,45,73,52,1.13000,119,0.00837
452817.53242,5472360.84184,69.30000,122,97,87,48,75,60,1.13000,108,0.00926
452815.45360,5472359.27301,69.30000,118,97,88,51,66,61,1.14000,103,0.00966
452813.53469,5472357.82486,69.30000,126,105,90,56,73,60,1.16000,109,0.00921
452811.45586,5472356.25603,69.30000,140,116,104,59,74,53,1.17000,120,0.00836
452809.37704,5472354.68720,69.20000,185,140,112,62,81,56,1.16000,160,0.00627
452807.29821,5472353.11837,69.20000,208,166,127,65,75,53,1.15000,180,0.00553
452805.27973,5472351.46959,69.20000,229,178,129,71,72,53,1.15000,200,0.00502
452803.18129,5472349.76046,69.20000,211,178,144,84,65,49,1.13000,188,0.00536
452801.10247,5472348.19163,69.20000,222,187,158,88,64,46,1.11000,200,0.00500
452799.08398,5472346.54285,69.20000,235,220,177,92,68,42,1.11000,212,0.00472
452797.22541,5472345.01474,69.20000,247,234,201,87,68,36,1.11000,222,0.00449
452795.08624,5472343.52587,69.20000,249,244,231,90,69,34,1.11000,225,0.00446
452792.84751,5472341.83636,69.20000,243,238,239,84,69,36,1.11000,219,0.00457
452790.92860,5472340.38820,69.20000,247,260,237,81,73,44,1.11000,221,0.00449
452788.84977,5472338.81937,69.20000,249,266,209,68,77,48,1.11000,223,0.00446
452786.93086,5472337.37122,69.20000,259,258,206,67,81,56,1.11000,234,0.00429
452784.73135,5472335.96230,69.20000,250,245,181,66,78,59,1.11000,226,0.00444
452782.81244,5472334.51415,69.20000,250,218,164,88,74,64,1.11000,225,0.00444
452780.89353,5472333.06600,69.20000,226,212,155,105,67,59,1.10000,206,0.00487
452778.81470,5472331.49717,69.20000,217,216,147,109,65,54,1.10000,197,0.00507
452776.81583,5472329.98868,69.20000,221,229,142,95,59,48,1.11000,200,0.00502
452774.77624,5472328.70043,69.20000,238,219,114,83,50,46,1.10000,215,0.00462
452772.85733,5472327.25228,69.20000,230,185,101,80,46,43,1.10000,209,0.00478
452771.09832,5472325.92481,69.20000,207,155,84,77,42,42,1.11000,186,0.00536
452769.17941,5472324.47666,69.20000,177,154,66,74,39,44,1.11000,159,0.00627
