X,Y,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.5,Rho.6,Gamma,Feuchteind,Gamma_rho1
452770.48484,5472343.53260,68.90000,133,109,91,58,51,48,1.14000,117,0.00857
452772.18351,5472344.94003,68.90000,126,107,98,56,52,46,1.13000,111,0.00897
452773.70265,5472346.08648,68.90000,135,117,118,65,52,49,1.12000,121,0.00830
452775.46165,5472347.41395,68.90000,144,122,143,68,55,44,1.11000,129,0.00771
452777.14070,5472348.68108,68.90000,169,145,156,70,58,45,1.11000,152,0.00657
452778.89971,5472350.00856,68.90000,178,147,152,70,60,46,1.11000,161,0.00624
452780.65871,5472351.33603,68.90000,184,150,129,75,57,48,1.11000,166,0.00603
452782.63797,5472352.70423,68.90000,179,139,138,81,55,50,1.10000,162,0.00615
452784.33663,5472354.11165,68.90000,176,147,139,77,53,47,1.11000,158,0.00631
452786.39584,5472355.54019,68.80000,185,164,158,75,50,46,1.11000,166,0.00600
452788.09451,5472356.94762,68.80000,188,163,146,71,48,45,1.11000,170,0.00590
452789.85351,5472358.27509,68.80000,197,162,150,69,49,43,1.11000,177,0.00563
452791.77243,5472359.72324,68.80000,201,153,134,63,53,40,1.12000,180,0.00557
452793.53143,5472361.05071,68.90000,203,150,136,64,58,40,1.11000,183,0.00547
452795.21048,5472362.31784,68.90000,206,147,131,68,57,43,1.11000,187,0.00539
452796.96949,5472363.64532,68.90000,208,150,152,74,55,48,1.11000,187,0.00534
452798.94874,5472365.01351,68.90000,216,161,162,78,52,50,1.11000,194,0.00514
452800.76809,5472366.26103,68.90000,218,177,185,76,58,50,1.11000,197,0.00509
452802.44714,5472367.52816,68.90000,226,175,190,78,57,52,1.11000,204,0.00491
452804.14580,5472368.93559,68.90000,226,170,196,74,60,52,1.11000,203,0.00491
452805.74490,5472370.14238,68.90000,229,160,177,72,52,48,1.11000,206,0.00485
452807.58386,5472371.53019,68.90000,216,167,178,63,51,41,1.12000,193,0.00519
452809.56311,5472372.89839,69.00000,213,164,176,60,46,34,1.12000,190,0.00526
452811.48203,5472374.34654,68.90000,223,169,173,58,55,32,1.12000,199,0.00502
452813.24103,5472375.67401,69.00000,227,155,156,57,59,32,1.11000,204,0.00489
452815.00004,5472377.00148,69.00000,226,168,138,64,60,35,1.12000,203,0.00496
452816.89934,5472378.30934,69.00000,226,150,144,74,55,41,1.13000,200,0.00500
452798.14249,5472393.51907,67.90000,103,66,62,35,34,33,1.15000,89,0.01117
452796.54339,5472392.31227,68.00000,108,70,61,39,32,29,1.15000,95,0.01065
452794.64409,5472391.00442,68.00000,102,72,60,41,31,30,1.14000,90,0.01118
452793.04499,5472389.79762,67.90000,106,68,53,40,30,31,1.14000,93,0.01075
452791.28599,5472388.47015,67.90000,99,72,50,37,32,32,1.14000,87,0.01152
452789.60694,5472387.20302,67.90000,101,70,46,34,33,32,1.14000,88,0.01129
452788.00784,5472385.99623,67.90000,94,69,48,33,34,33,1.15000,82,0.01223
452786.40875,5472384.78943,67.90000,91,63,56,34,35,32,1.15000,79,0.01264
452784.66935,5472383.60226,67.90000,75,62,64,36,37,33,1.16000,65,0.01547
452782.91035,5472382.27478,67.90000,68,63,67,38,36,35,1.16000,59,0.01706
452781.31125,5472381.06799,67.90000,68,65,73,39,35,40,1.16000,58,0.01706
452779.63220,5472379.80086,67.90000,90,68,71,40,32,42,1.16000,78,0.01289
452778.03311,5472378.59406,67.90000,98,79,71,40,34,42,1.16000,84,0.01184
452776.27410,5472377.26659,67.90000,104,82,59,39,33,37,1.15000,90,0.01106
452774.37480,5472375.95873,67.90000,87,83,58,36,34,37,1.15000,76,0.01322
452772.77570,5472374.75194,67.90000,84,83,57,37,34,36,1.15000,73,0.01369
452771.11627,5472373.62510,67.90000,90,85,59,35,37,35,1.14000,79,0.01267
452769.49756,5472372.27802,67.90000,94,87,64,35,41,33,1.15000,82,0.01223
452767.89846,5472371.07122,67.90000,98,81,66,35,41,37,1.16000,85,0.01184
452766.21941,5472369.80409,67.90000,92,81,68,38,40,41,1.15000,80,0.01250
452764.62032,5472368.59730,67.90000,91,80,71,41,39,42,1.14000,80,0.01253
452762.96088,5472367.47046,67.90000,95,76,70,43,39,41,1.13000,84,0.01189
452761.22149,5472366.28328,67.90000,98,75,69,42,40,38,1.13000,86,0.01153
452759.78231,5472365.19716,68.00000,112,72,61,41,40,42,1.12000,100,0.01000
452758.32350,5472363.97076,68.00000,117,73,60,41,42,42,1.11000,105,0.00949
452756.96427,5472362.94498,68.00000,121,69,69,43,44,42,1.12000,108,0.00926
452755.52509,5472361.85887,68.00000,114,74,68,44,42,39,1.12000,102,0.00982
452754.00595,5472360.71241,68.00000,117,77,79,46,38,41,1.12000,104,0.00957
452752.50642,5472359.70625,68.00000,115,83,72,48,38,39,1.12000,103,0.00974
452751.14719,5472358.68048,68.00000,120,81,77,52,40,35,1.11000,108,0.00925
452749.70800,5472357.59436,68.00000,129,96,69,55,45,35,1.11000,116,0.00860
452748.28843,5472356.64854,68.00000,124,92,73,54,51,37,1.10000,112,0.00887
452746.92920,5472355.62277,68.00000,109,92,80,52,54,43,1.09000,100,0.01000
