datum,tag_prognose,Tmean_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,windgeschwindigkeit_m_s,wasser_input_mm
2023-05-21,1,22.6233333333334,18.74,25.92,58,58,58,2.19,0
2023-05-22,2,20.645,15.16,26.36,68.75,68.75,68.75,1.80125,2.22
2023-05-23,3,14.73375,13.29,16.26,81.25,81.25,81.25,3.72625,0.38
2023-05-24,4,14.19625,9.21000000000004,20.03,58.25,58.25,58.25,3.05125,0
2023-05-25,5,15.45875,9.49000000000001,20.6,68,68,68,3.1575,0
2023-05-26,6,12.602,9.11000000000001,17.61,55.2,55.2,55.2,4.24,0
