nFK_0010;nFK_1020;nFK_2030;nFK_3040;nFK_4050;nFK_5060;nFK_0010_Vortag;nFK_1020_Vortag;nFK_2030_Vortag;nFK_3040_Vortag;nFK_4050_Vortag;nFK_5060_Vortag;tage_seit_aussaat;Tmean_gradC;Tmean_th9_25_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;tageslicht_h;tageslicht_h_th9;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;niederschlag_mm_sum;tageslicht_h_sum;tageslicht_h_th9_sum;Ton_prozent;Schluff_prozent;Sand_prozent;C_org_prozent;ibi;irmi;wasser_input_Vortag
-228.87;-215.85;-205.86;-197.98;-190.48;-183.34;-221.98;-209.9;-200.51;-193.13;-185.93;-178.99;18;6.51041666666667;0;-1.1;14.7;67.1458333333333;95;20;16.28685;1.55833333333333;11.94;0;77.8145833333333;0;166.26573;21.2;205.28;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-234.73;-221.34;-210.94;-202.69;-194.96;-187.57;-228.87;-215.85;-205.86;-197.98;-190.48;-183.34;19;5.82708333333333;0;3.8;7.9;75.3583333333333;95;20;3.34575;1.365625;12;0;83.6416666666667;0;169.61148;21.2;217.28;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-240.36;-226.49;-215.75;-207.19;-199.28;-191.66;-234.73;-221.34;-210.94;-202.69;-194.96;-187.57;20;5.67291666666667;0;4.4;7;72.4427083333333;95;20;2.48112;1.509375;12.06;0;89.3145833333333;0;172.0926;21.2;229.34;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-240.86;-229.64;-219.74;-211.36;-203.43;-195.72;-240.36;-226.49;-215.75;-207.19;-199.28;-191.66;21;7.27916666666667;0;5.5;9.7;75.4114583333333;95;20;7.62453;2.13541666666667;12.13;0;96.59375;0;179.71713;21.7;241.47;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-249.36;-234.53;-223.72;-215.15;-207.19;-199.44;-240.86;-229.64;-219.74;-211.36;-203.43;-195.72;22;8.42395833333333;0;4.5;11.7;67.6583333333333;95;20;11.66184;1.88645833333333;12.19;0;105.017708333333;0;191.37897;21.7;253.66;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0.5
-257.03;-240.59;-228.5;-219.22;-211;-203.09;-249.36;-234.53;-223.72;-215.15;-207.19;-199.44;23;8.415625;0;6.8;10.7;71.175;95;20;6.98931;2.25520833333333;12.25;0;113.433333333333;0;198.36828;21.7;265.91;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-264.09;-246.68;-233.46;-223.45;-214.9;-206.75;-257.03;-240.59;-228.5;-219.22;-211;-203.09;24;8.11354166666667;0;5.5;10.5;68.8052083333333;95;20;8.44119;1.384375;12.31;0;121.546875;0;206.80947;21.7;278.22;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-203.58;-223.03;-228.12;-224.81;-217.8;-210.08;-264.09;-246.68;-233.46;-223.45;-214.9;-206.75;25;7.20520833333333;0;5.9;8.5;84.7447916666667;95;20;3.44952;1.02708333333333;12.38;0;128.752083333333;0;210.25899;27;290.6;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-225.55;-221.23;-221.1;-221.01;-216.78;-211.09;-203.58;-223.03;-228.12;-224.81;-217.8;-210.08;26;9.31145833333333;9.31145833333333;3.8;15;75.3510416666667;95;20;17.41914;1.16145833333333;12.44;12.44;138.063541666667;9.31145833333333;227.67813;27;303.04;12.44;35;35;30;0.1;0.213676525900705;10.9919097990645;5.3
-235.41;-228.27;-224.04;-221.43;-216.79;-211.58;-225.55;-221.23;-221.1;-221.01;-216.78;-211.09;27;8.84791666666667;0;4.6;13.4;73.8822916666667;95;20;8.75232;1.6875;12.5;0;146.911458333333;9.31145833333333;236.43045;27.5;315.54;12.44;35;35;30;0.1;0.213676525900705;10.9919097990645;0
-199.78;-213.84;-220;-221.29;-217.53;-212.63;-235.41;-228.27;-224.04;-221.43;-216.79;-211.58;28;7.95833333333333;0;4.2;13.5;77.8604166666667;95;20;3.79791;1.90208333333333;12.56;0;154.869791666667;9.31145833333333;240.22836;31.7;328.1;12.44;35;35;30;0.1;0.213676525900705;10.9919097990645;0.5
-208.71;-210.35;-213.78;-217.28;-215.53;-212.28;-199.78;-213.84;-220;-221.29;-217.53;-212.63;29;9.25625;9.25625;4.9;13.4;68.55625;95;20;15.59943;2.0625;12.63;12.63;164.126041666667;18.5677083333333;255.82779;33.1;340.73;25.07;35;35;30;0.1;0.257452903682658;11.3604130723375;4.2
-209.55;-211.43;-213.63;-216.11;-214.26;-211.5;-208.71;-210.35;-213.78;-217.28;-215.53;-212.28;30;8.99270833333333;0;6.5;12.1;85.16875;95;20;5.13684;0.8625;12.69;0;173.11875;18.5677083333333;260.96463;34.7;353.42;25.07;35;35;30;0.1;0.257452903682658;11.3604130723375;1.4
-144.91;-169.25;-190.76;-206.96;-210.11;-209.81;-209.55;-211.43;-213.63;-216.11;-214.26;-211.5;31;8.065625;0;5.1;10.1;88.7625;95;20;2.27934;1.83541666666667;12.75;0;181.184375;18.5677083333333;263.24397;44;366.17;25.07;35;35;30;0.1;0.257452903682658;11.3604130723375;1.6
-129.39;-144.38;-163.1;-183.98;-193.3;-199.68;-144.91;-169.25;-190.76;-206.96;-210.11;-209.81;32;7.15729166666667;0;3.3;12.2;76.4125;95;20;10.05606;1.59895833333333;12.81;0;188.341666666667;18.5677083333333;273.30003;51.8;378.98;25.07;35;35;30;0.1;0.257452903682658;11.3604130723375;9.3
-163.56;-162.06;-167.51;-178.48;-183.55;-188.98;-129.39;-144.38;-163.1;-183.98;-193.3;-199.68;33;8.61041666666667;0;2;15.4;79.2479166666667;95;20;13.00581;0.888541666666667;12.88;0;196.952083333333;18.5677083333333;286.30584;51.8;391.86;25.07;35;35;30;0.1;0.257452903682658;11.3604130723375;7.8
-185.75;-179.8;-179.27;-183.21;-184.01;-185.96;-163.56;-162.06;-167.51;-178.48;-183.55;-188.98;34;13.3541666666667;13.3541666666667;8.3;18.9;78.509375;95;20;9.77661;0.736458333333333;12.94;12.94;210.30625;31.921875;296.08245;52;404.8;38.01;35;35;30;0.1;0.310878729875782;11.741347673462;0
-159.91;-170.46;-178.48;-185.44;-186.17;-186.79;-185.75;-179.8;-179.27;-183.21;-184.01;-185.96;35;13.76875;13.76875;10.6;17.3;80.303125;95;20;8.78607;0.96875;13;13;224.075;45.690625;304.86852;57.3;417.8;51.01;35;35;30;0.1;0.374636553260761;12.1269041146659;0.2
-120.42;-136.76;-154.47;-173;-179.35;-183.51;-159.91;-170.46;-178.48;-185.44;-186.17;-186.79;36;11.5375;11.5375;8.4;15;91.1145833333333;95;20;5.59494;1.06875;13.06;13.06;235.6125;57.228125;310.46346;67.4;430.86;64.07;35;35;30;0.1;0.450302343599051;12.5164951712981;5.3
-156.51;-153.85;-158.33;-168.06;-171.82;-176.06;-120.42;-136.76;-154.47;-173;-179.35;-183.51;37;11.6135416666667;11.6135416666667;4.9;15.4;69.978125;95;20;13.03713;2.009375;13.12;13.12;247.226041666667;68.8416666666667;323.50059;67.4;443.98;77.19;35;35;30;0.1;0.539490998584905;12.9095012983712;10.1
-177.49;-172.05;-171.27;-174.51;-174.46;-175.51;-156.51;-153.85;-158.33;-168.06;-171.82;-176.06;38;9.540625;9.540625;3.3;13.4;61.753125;95;20;15.09723;2.02604166666667;13.18;13.18;256.766666666667;78.3822916666668;338.59782;67.9;457.16;90.37;35;35;30;0.1;0.643758094676003;13.3052740649535;0
-196.83;-186.66;-182.37;-182.09;-179.96;-178.88;-177.49;-172.05;-171.27;-174.51;-174.46;-175.51;39;7.50208333333333;0;0.2;13.8;69.3052083333333;95;20;16.40286;0.886458333333333;13.24;0;264.26875;78.3822916666668;355.00068;67.9;470.4;90.37;35;35;30;0.1;0.643758094676003;13.3052740649535;0.5
-214.17;-200.8;-193.12;-189.78;-186.03;-183.37;-196.83;-186.66;-182.37;-182.09;-179.96;-178.88;40;9.403125;9.403125;1.4;15.5;64.653125;95;20;16.3845;0.990625;13.31;13.31;273.671875;87.7854166666667;371.38518;67.9;483.71;103.68;35;35;30;0.1;0.765144284313488;13.7052431013109;0
-231.25;-214.12;-203.9;-197.94;-192.55;-188.48;-214.17;-200.8;-193.12;-189.78;-186.03;-183.37;41;12.5333333333333;12.5333333333333;6.7;17.6;62.3395833333333;95;20;18.52128;1.29479166666667;13.37;13.37;286.205208333333;100.31875;389.90646;67.9;497.08;117.05;35;35;30;0.1;0.904132671605324;14.1066031817237;0
-250.99;-227.76;-214.44;-206.16;-199.49;-194.04;-231.25;-214.12;-203.9;-197.94;-192.55;-188.48;42;12.425;12.425;6.9;18.5;60.775;95;20;21.51612;1.66770833333333;13.43;13.43;298.630208333333;112.74375;411.42258;67.9;510.51;130.48;35;35;30;0.1;1.06112779430164;14.5086328595086;0
-261.74;-239.09;-224.09;-214.09;-206.37;-199.9;-250.99;-227.76;-214.44;-206.16;-199.49;-194.04;43;11.4364583333333;11.4364583333333;7.2;18.8;76.4833333333333;95;20;15.71544;1.11354166666667;13.49;13.49;310.066666666667;124.180208333333;427.13802;68.5;524;143.97;35;35;30;0.1;1.23572754167838;14.9105995372119;0
-205.4;-220.53;-222.48;-218.28;-211.66;-205.12;-261.74;-239.09;-224.09;-214.09;-206.37;-199.9;44;8.65416666666667;0;5.5;12;89.0864583333333;95;20;5.44059;0.932291666666667;13.55;0;318.720833333333;124.180208333333;432.57861;73.6;537.55;143.97;35;35;30;0.1;1.23572754167838;14.9105995372119;0.6
-236.01;-223.7;-219.27;-217.23;-212.78;-207.78;-205.4;-220.53;-222.48;-218.28;-211.66;-205.12;45;11.9114583333333;11.9114583333333;5.1;17.8;70.5645833333333;95;20;21.66858;1.003125;13.61;13.61;330.632291666667;136.091666666667;454.24719;73.8;551.16;157.58;35;35;30;0.1;1.42741765014577;15.3135343045448;5.1
-257.43;-237.87;-227.22;-221.16;-215.42;-210.11;-236.01;-223.7;-219.27;-217.23;-212.78;-207.78;46;13.0291666666667;13.0291666666667;9.3;17.7;69.7416666666667;95;20;15.45183;1.70833333333333;13.67;13.67;343.661458333333;149.120833333333;469.69902;74.3;564.83;171.25;35;35;30;0.1;1.63294339734867;15.7148962248335;0.2
-200.96;-219.13;-224.81;-223.72;-218.66;-213.17;-257.43;-237.87;-227.22;-221.16;-215.42;-210.11;47;11.9364583333333;11.9364583333333;8.9;15.6;77.9791666666667;95;20;9.52911;1.28854166666667;13.73;13.73;355.597916666667;161.057291666667;479.22813;80.2;578.56;184.98;35;35;30;0.1;1.84871099224579;16.1139422018273;0.5
-204.69;-209.52;-214.86;-219.09;-217.39;-214.05;-200.96;-219.13;-224.81;-223.72;-218.66;-213.17;48;9.06041666666667;9.06041666666667;6.2;12.9;67.7927083333333;95;20;12.62457;1.61145833333333;13.79;0;364.658333333333;170.117708333333;491.8527;82.6;592.35;184.98;35;35;30;0.1;1.84871099224579;16.1139422018273;5.9
