m,s
80.038526127265,21.9269648073505
85.6411504424779,16.7512136032861
89.5913147914033,13.173129658999
32.3173198482933,9.01164842634229
356.709639696586,330.481628549589
216.021182048041,200.985077971706
155.641384323641,157.33886852486
2.28900758533502,0.528030808804552
2.15180783817952,0.40779503786216
2.05275600505689,0.317557072836535
18.3110429835651,4.50203649042143
18.0011441213654,5.30410418520907
12.0247155499368,4.12372408511639
24.3521491782554,5.56112419142767
65.8856510745892,11.3861636374091
44.6032869785084,12.524330348127
87.6365360303411,7.94961713133118
5266.05976611885,1721.92173009642
1.26237673830594,0.456545940447821
15.0117003792668,0.932018181794379
14.4616877370417,2.99539893783796
567.583274336279,191.586097505847
543.440922882425,215.31154818264
174691.287989886,46163.5653092416
42.6058786346399,28.8888687838993
485.327187104934,131.215432083807
438.130164348927,138.543735429616
20,1
30,1
50,1
1.20000000000003,1
2.86216931066036,1.17452179843611
18.6979910802996,3.07300212607881
3.54098609355246,6.69590570671387
