wetter_id;satz_id;datum_wetter;Tmean_gradC;Tmean_th9_25_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;par_Wh_m2;niederschlag_mm;windgeschwindigkeit_m_s;FAO56_mm;tageslicht_h;tageslicht_h_th9;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;niederschlag_mm_sum;FAO56_mm_sum;tageslicht_h_sum;tageslicht_h_th9_sum
458;10;2023-08-16;21.6;21.6;17.9;27.7;84.55;56.7;96.6;4172.3;4704.75;15.8;0.72;2.8;14.35;14.35;459.47;459.47;93885.08;119.9;65.5;358.69;358.69
459;10;2023-08-17;22.3;22.3;17.2;28.5;79.55;57.1;95.8;6061.18;4847.5;0;0.84;3.9;14.29;14.29;481.77;481.77;99946.25;119.9;69.4;372.98;372.98
460;10;2023-08-18;23.95;23.95;17.5;32.7;74.57;44;96.1;6518.35;4903;0;0.68;4.4;14.24;14.24;505.72;505.72;106464.6;119.9;73.8;387.22;387.22
461;10;2023-08-19;24.38;24.38;18.7;29.4;76.13;62.8;93.4;3126.2;5400.75;0;0.38;2.4;14.18;14.18;530.1;530.1;109590.8;119.9;76.2;401.4;401.4
462;10;2023-08-20;25.81;25;19.2;32.9;71.63;44.5;94.6;6377.52;5295;0;0.5;4.4;14.12;14.12;555.91;555.1;115968.32;119.9;80.6;415.52;415.52
463;10;2023-08-21;25.63;25;18.6;33.3;70.93;46.5;94.9;5664.5;5930.75;0;0.52;4;14.07;14.07;581.54;580.1;121632.82;119.9;84.6;429.59;429.59
464;10;2023-08-22;24.06;24.06;17.4;30.7;69.48;47.1;93.4;6055.52;5457.25;0;0.68;4;14.01;14.01;605.6;604.16;127688.35;119.9;88.6;443.6;443.6
465;10;2023-08-23;23.32;23.32;16.6;31;63.12;34.8;90.9;6316.62;5826;0;0.59;4.1;13.95;13.95;628.92;627.48;134004.97;119.9;92.7;457.55;457.55
466;10;2023-08-24;20.71;20.71;16.4;26.7;78.02;55.6;95.2;2827.05;4176.25;2.2;0.7;2.1;13.89;13.89;649.63;648.19;136832.02;122.1;94.8;471.44;471.44
467;10;2023-08-25;22.09;22.09;16.6;28.5;82.02;58.3;96.3;3844.6;4747.5;1.4;0.73;2.6;13.83;13.83;671.71;670.27;140676.62;123.5;97.4;485.27;485.27
468;10;2023-08-26;20.31;20.31;13.4;24.8;66.08;45.6;92.7;4810.07;5092.5;0;0.76;3;13.78;13.78;692.02;690.58;145486.7;123.5;100.4;499.05;499.05
469;10;2023-08-27;16.63;16.63;11.5;22.3;76.64;50.8;93.1;3366.18;5851.25;2.1;0.61;2.1;13.72;13.72;708.65;707.21;148852.87;125.6;102.5;512.77;512.77
470;10;2023-08-28;15.18;15.18;10;20.3;78.43;60;94.8;2593.72;5790.5;0;0.63;1.7;13.66;13.66;723.83;722.39;151446.6;125.6;104.2;526.43;526.43
471;10;2023-08-29;16.88;16.88;14.1;22;76.8;55.3;87.4;4022.35;6107;0.1;1.34;2.5;13.6;13.6;740.71;739.27;155468.95;125.7;106.7;540.03;540.03
472;10;2023-08-30;16.59;16.59;12.3;22.8;77.93;49.8;92.7;4378.32;5420.5;2.3;0.9;2.5;13.54;13.54;757.31;755.87;159847.28;128;109.2;553.57;553.57
473;10;2023-08-31;15.95;15.95;10.1;21.7;74.91;44.6;94.3;4576.27;4946.75;2.2;0.94;2.5;13.48;13.48;773.26;771.82;164423.55;130.2;111.7;567.05;567.05
474;10;2023-09-01;17.29;17.29;14.2;22.7;87.05;69.6;95.5;2226.43;3899;9.5;0.79;1.6;13.42;13.42;790.55;789.11;166649.97;139.7;113.3;580.47;580.47
475;10;2023-09-02;19.19;19.19;12.9;26.1;80.19;58.4;96.1;5374.57;4683.75;0;0.57;3;13.36;13.36;809.74;808.3;172024.55;139.7;116.3;593.83;593.83
476;10;2023-09-03;19.94;19.94;14.1;26.1;77.4;54.2;93.4;4688.4;5169;0;0.7;2.8;13.3;13.3;829.68;828.24;176712.95;139.7;119.1;607.13;607.13
477;10;2023-09-04;19.13;19.13;10.8;27.2;67.83;37.9;95.6;5787.85;3724.75;0;1.12;3.4;13.24;13.24;848.81;847.37;182500.8;139.7;122.5;620.37;620.37
