wetter_stunde_id;satz_id;zeit_wetter;Tmin_gradC;Tmax_gradC;Tmean_gradC;Tmean_th9_25_gradC;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;relLuftfeuchte_mean_prozent;globalstrahlung_Wh_m2;globalstrahlung_J_cm2;par_Wh_m2;niederschlag_mm;windgeschwindigkeit_m_s;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;globalstrahlung_J_cm2_sum;niederschlag_mm_sum;tageslicht_h;tageslicht_h_th9;tageslicht_h_sum;tageslicht_h_th9_sum
1;1;2020-04-20T00:00:00Z;11.3;11.8;11.55;11.55;43.5;44;43.73;0;0;0.2;0;2.22;11.55;11.55;0;0;0;13.96;13.96;13.96;13.96
2;1;2020-04-20T01:00:00Z;10.9;11.2;11.05;11.05;43.4;43.6;43.5;0;0;0.2;0;2.2;22.6;22.6;0;0;0;13.96;13.96;13.96;13.96
3;1;2020-04-20T02:00:00Z;10.5;10.8;10.65;10.65;43.7;44.1;43.85;0;0;0.2;0;2;33.25;33.25;0;0;0;13.96;13.96;13.96;13.96
4;1;2020-04-20T03:00:00Z;10.5;10.7;10.6;10.6;44.3;44.6;44.45;0;0;0.2;0;2.1;43.85;43.85;0;0;0;13.96;13.96;13.96;13.96
5;1;2020-04-20T04:00:00Z;9.8;10.3;10.08;10.08;45.6;48.1;46.75;0;0;0.2;0;1.7;53.93;53.93;0;0;0;13.96;13.96;13.96;13.96
6;1;2020-04-20T05:00:00Z;9.6;9.7;9.68;9.68;49.5;50.4;49.98;1.98;0.71;0.8;0;1.53;63.6;63.6;1.98;0.71;0;13.96;13.96;13.96;13.96
7;1;2020-04-20T06:00:00Z;9.6;10.4;10.03;10.03;48.2;50.8;49.43;78.23;28.16;6.68;0;2.48;73.63;73.63;80.2;28.87;0;13.96;13.96;13.96;13.96
8;1;2020-04-20T07:00:00Z;10.6;11.1;10.83;10.83;46;47.7;46.75;243.35;87.61;22.83;0;3.62;84.45;84.45;323.55;116.48;0;13.96;13.96;13.96;13.96
9;1;2020-04-20T08:00:00Z;11.4;12;11.68;11.68;44.2;45.7;45.03;425;153;42.68;0;4.05;96.13;96.13;748.55;269.48;0;13.96;13.96;13.96;13.96
10;1;2020-04-20T09:00:00Z;12.5;13.3;12.93;12.93;40.6;43.5;42.08;592.55;213.32;62.48;0;4.43;109.05;109.05;1341.1;482.8;0;13.96;13.96;13.96;13.96
11;1;2020-04-20T10:00:00Z;13.7;14.9;14.35;14.35;34.9;40.2;37.5;720.58;259.41;78.5;0;4.82;123.4;123.4;2061.68;742.2;0;13.96;13.96;13.96;13.96
12;1;2020-04-20T11:00:00Z;15.3;16.3;15.83;15.83;31.8;33.8;32.83;808.5;291.06;90.17;0;4.68;139.22;139.22;2870.18;1033.26;0;13.96;13.96;13.96;13.96
13;1;2020-04-20T12:00:00Z;16.7;17.6;17.15;17.15;29.1;30.7;30.05;845.98;304.55;95.93;0;4.68;156.38;156.38;3716.15;1337.81;0;13.96;13.96;13.96;13.96
14;1;2020-04-20T13:00:00Z;17.7;18.5;18.2;18.2;26.5;28.8;27.68;829.12;298.48;94.17;0;4.8;174.57;174.57;4545.27;1636.3;0;13.96;13.96;13.96;13.96
15;1;2020-04-20T14:00:00Z;19;19.5;19.23;19.23;25.1;26.4;25.53;763.08;274.71;84.83;0;4.38;193.8;193.8;5308.35;1911.01;0;13.96;13.96;13.96;13.96
16;1;2020-04-20T15:00:00Z;19.8;20.2;19.98;19.98;24.2;24.8;24.45;650.85;234.31;70;0;4.4;213.77;213.77;5959.2;2145.31;0;13.96;13.96;13.96;13.96
17;1;2020-04-20T16:00:00Z;20.2;20.5;20.35;20.35;23.8;24.8;24.18;500;180;52.6;0;4.23;234.12;234.12;6459.2;2325.31;0;13.96;13.96;13.96;13.96
18;1;2020-04-20T17:00:00Z;20;20.2;20.12;20.12;24.3;25.5;24.92;324.92;116.97;31.8;0;4.4;254.25;254.25;6784.12;2442.28;0;13.96;13.96;13.96;13.96
19;1;2020-04-20T18:00:00Z;18.5;19.7;19.25;19.25;26.4;30.5;27.9;145.95;52.54;10.57;0;3.88;273.5;273.5;6930.08;2494.83;0;13.96;13.96;13.96;13.96
20;1;2020-04-20T19:00:00Z;16.4;18;17.08;17.08;31.2;33.9;33;16.45;5.92;2.55;0;3.6;290.58;290.58;6946.52;2500.75;0;13.96;13.96;13.96;13.96
21;1;2020-04-20T20:00:00Z;15.1;15.9;15.5;15.5;34.9;35.5;35.2;0;0;0.2;0;3.1;306.08;306.08;6946.52;2500.75;0;13.96;13.96;13.96;13.96
22;1;2020-04-20T21:00:00Z;14.2;14.9;14.58;14.58;35.5;35.8;35.7;0;0;0.2;0;3.1;320.65;320.65;6946.52;2500.75;0;13.96;13.96;13.96;13.96
23;1;2020-04-20T22:00:00Z;13.4;14;13.7;13.7;35.7;35.9;35.78;0;0;0.2;0;2.93;334.35;334.35;6946.52;2500.75;0;13.96;13.96;13.96;13.96
24;1;2020-04-20T23:00:00Z;12.8;13.2;12.95;12.95;36;36.5;36.33;0;0;0.2;0;2.53;347.3;347.3;6946.52;2500.75;0;13.96;13.96;13.96;13.96
25;1;2020-04-21T00:00:00Z;12.3;12.7;12.53;12.53;36.7;37.6;37.08;0;0;0.2;0;2.8;359.82;359.82;6946.52;2500.75;0;14.02;14.02;27.98;27.98
26;1;2020-04-21T01:00:00Z;11.8;12.1;11.95;11.95;38.3;39.4;38.83;0;0;0.2;0;2.2;371.77;371.77;6946.52;2500.75;0;14.02;14.02;27.98;27.98
27;1;2020-04-21T02:00:00Z;11.3;11.7;11.53;11.53;39.6;41;40.3;0;0;0.2;0;2.7;383.3;383.3;6946.52;2500.75;0;14.02;14.02;27.98;27.98
28;1;2020-04-21T03:00:00Z;10.9;11.2;11.05;11.05;41.4;42.9;42.15;0;0;0.2;0;2.78;394.35;394.35;6946.52;2500.75;0;14.02;14.02;27.98;27.98
29;1;2020-04-21T04:00:00Z;10.6;10.8;10.7;10.7;43.1;44.1;43.68;0;0;0.2;0;2.9;405.05;405.05;6946.52;2500.75;0;14.02;14.02;27.98;27.98
30;1;2020-04-21T05:00:00Z;10.2;10.5;10.3;10.3;44.2;45;44.73;2.48;0.89;0.88;0;3;415.35;415.35;6949;2501.64;0;14.02;14.02;27.98;27.98
31;1;2020-04-21T06:00:00Z;10.2;11.2;10.73;10.73;42.8;44.8;43.73;89.55;32.24;6.73;0;3.05;426.07;426.07;7038.55;2533.88;0;14.02;14.02;27.98;27.98
32;1;2020-04-21T07:00:00Z;11.4;12.1;11.75;11.75;41.1;42.2;41.65;260.95;93.94;23.95;0;3.8;437.82;437.82;7299.5;2627.82;0;14.02;14.02;27.98;27.98
33;1;2020-04-21T08:00:00Z;12.4;13.2;12.8;12.8;38.6;40.3;39.53;443.25;159.57;44.18;0;4.12;450.62;450.62;7742.75;2787.39;0;14.02;14.02;27.98;27.98
34;1;2020-04-21T09:00:00Z;13.4;14.5;13.9;13.9;37.1;38.2;37.78;606.45;218.32;63.45;0;4.68;464.52;464.52;8349.2;3005.71;0;14.02;14.02;27.98;27.98
35;1;2020-04-21T10:00:00Z;14.8;16.5;15.55;15.55;33.8;37.1;35.75;732.12;263.56;79.6;0;4.23;480.07;480.07;9081.33;3269.28;0;14.02;14.02;27.98;27.98
36;1;2020-04-21T11:00:00Z;17;18;17.6;17.6;28.1;29.8;28.85;820.32;295.32;91.62;0;5;497.67;497.67;9901.65;3564.59;0;14.02;14.02;27.98;27.98
37;1;2020-04-21T12:00:00Z;18.4;19.2;18.7;18.7;26.8;28.3;27.38;852.5;306.9;96.15;0;4.7;516.38;516.38;10754.15;3871.49;0;14.02;14.02;27.98;27.98
38;1;2020-04-21T13:00:00Z;19.6;20.5;20.08;20.08;24.3;25.7;25.1;835.55;300.8;93.95;0;4.88;536.45;536.45;11589.7;4172.29;0;14.02;14.02;27.98;27.98
39;1;2020-04-21T14:00:00Z;20.9;21.6;21.23;21.23;23.3;24.6;23.98;771.88;277.88;84.72;0;4.48;557.68;557.68;12361.58;4450.17;0;14.02;14.02;27.98;27.98
40;1;2020-04-21T15:00:00Z;21.7;22;21.88;21.88;23.2;23.5;23.4;659.58;237.45;69.78;0;4.58;579.55;579.55;13021.15;4687.61;0;14.02;14.02;27.98;27.98
41;1;2020-04-21T16:00:00Z;22;22.1;22.05;22.05;23;24;23.35;505.13;181.85;52.12;0;4.53;601.6;601.6;13526.28;4869.46;0;14.02;14.02;27.98;27.98
42;1;2020-04-21T17:00:00Z;21.7;21.9;21.8;21.8;24.1;25.4;24.8;326.08;117.39;31.33;0;4.15;623.4;623.4;13852.35;4986.85;0;14.02;14.02;27.98;27.98
43;1;2020-04-21T18:00:00Z;20.9;21.5;21.25;21.25;23.8;24.8;24.38;147.95;53.26;10.9;0;3.33;644.65;644.65;14000.3;5040.11;0;14.02;14.02;27.98;27.98
44;1;2020-04-21T19:00:00Z;19;20.5;19.68;19.68;24.7;26.8;25.7;16.62;5.98;2.67;0;3.28;664.32;664.32;14016.93;5046.09;0;14.02;14.02;27.98;27.98
45;1;2020-04-21T20:00:00Z;17.8;18.6;18.23;18.23;27.4;29.1;28.2;0;0;0.2;0;2.6;682.55;682.55;14016.93;5046.09;0;14.02;14.02;27.98;27.98
46;1;2020-04-21T21:00:00Z;15.6;16.8;16.35;16.35;31.3;33;32.1;0;0;0.2;0;1.75;698.9;698.9;14016.93;5046.09;0;14.02;14.02;27.98;27.98
47;1;2020-04-21T22:00:00Z;15;16;15.5;15.5;32.6;34.8;33.68;0;0;0.2;0;1.75;714.4;714.4;14016.93;5046.09;0;14.02;14.02;27.98;27.98
48;1;2020-04-21T23:00:00Z;14.3;14.7;14.45;14.45;35.9;37.7;36.88;0;0;0.2;0;1.53;728.85;728.85;14016.93;5046.09;0;14.02;14.02;27.98;27.98
49;1;2020-04-22T00:00:00Z;13.2;13.8;13.45;13.45;38.9;40.9;40.25;0;0;0.2;0;1.2;742.3;742.3;14016.93;5046.09;0;14.08;14.08;42.06;42.06
50;1;2020-04-22T01:00:00Z;13.1;13.5;13.38;13.38;40.6;41.3;40.83;0;0;0.2;0;1.4;755.68;755.68;14016.93;5046.09;0;14.08;14.08;42.06;42.06
51;1;2020-04-22T02:00:00Z;12.4;12.9;12.65;12.65;41.7;42.6;42.15;0;0;0.2;0;1.25;768.32;768.32;14016.93;5046.09;0;14.08;14.08;42.06;42.06
52;1;2020-04-22T03:00:00Z;11.8;12.4;12.12;12.12;42.4;43.7;42.98;0;0;0.2;0;1.12;780.45;780.45;14016.93;5046.09;0;14.08;14.08;42.06;42.06
53;1;2020-04-22T04:00:00Z;10.7;11.4;11.03;11.03;44.5;46.4;45.45;0;0;0.2;0;0.83;791.48;791.48;14016.93;5046.09;0;14.08;14.08;42.06;42.06
54;1;2020-04-22T05:00:00Z;9.2;10.5;10.05;10.05;46.9;50.2;47.85;2.95;1.06;0.95;0;0.62;801.52;801.52;14019.88;5047.16;0;14.08;14.08;42.06;42.06
55;1;2020-04-22T06:00:00Z;8.5;13;10.78;10.78;41.9;53;47.62;92.22;33.2;7;0;0.5;812.3;812.3;14112.1;5080.36;0;14.08;14.08;42.06;42.06
56;1;2020-04-22T07:00:00Z;13.1;13.7;13.38;13.38;39.6;41.2;40.58;266.3;95.87;24.53;0;2.72;825.68;825.68;14378.4;5176.22;0;14.08;14.08;42.06;42.06
57;1;2020-04-22T08:00:00Z;13.8;14.5;14.18;14.18;38.2;39.4;38.88;446.9;160.88;44.68;0;3.62;839.85;839.85;14825.3;5337.11;0;14.08;14.08;42.06;42.06
58;1;2020-04-22T09:00:00Z;14.6;15.6;15.03;15.03;37.7;38.1;37.9;605.18;217.86;63.73;0;3.83;854.87;854.87;15430.48;5554.97;0;14.08;14.08;42.06;42.06
59;1;2020-04-22T10:00:00Z;15.7;16.9;16.25;16.25;35.7;37.4;36.73;734.3;264.35;80.67;0;3.83;871.12;871.12;16164.78;5819.32;0;14.08;14.08;42.06;42.06
60;1;2020-04-22T11:00:00Z;17.2;18.8;18.05;18.05;31;34.9;33.05;819.32;294.96;92.2;0;3.93;889.17;889.17;16984.1;6114.28;0;14.08;14.08;42.06;42.06
61;1;2020-04-22T12:00:00Z;19.1;20.3;19.65;19.65;27.5;29.6;28.4;855.45;307.96;96.98;0;4.05;908.82;908.82;17839.55;6422.24;0;14.08;14.08;42.06;42.06
62;1;2020-04-22T13:00:00Z;20.6;21.5;21;21;25.8;26.6;26.05;840.48;302.57;94.97;0;3.85;929.82;929.82;18680.03;6724.81;0;14.08;14.08;42.06;42.06
63;1;2020-04-22T14:00:00Z;21.8;22.4;22.1;22.1;24.4;25.1;24.73;769.88;277.16;85;0;3.53;951.92;951.92;19449.9;7001.96;0;14.08;14.08;42.06;42.06
64;1;2020-04-22T15:00:00Z;22.7;23.1;22.95;22.95;23.6;24.1;23.88;658.35;237.01;70.12;0;3.38;974.87;974.87;20108.25;7238.97;0;14.08;14.08;42.06;42.06
65;1;2020-04-22T16:00:00Z;23;23.3;23.12;23.12;22.8;23.8;23.33;509.83;183.54;53.03;0;3.48;998;998;20618.08;7422.51;0;14.08;14.08;42.06;42.06
66;1;2020-04-22T17:00:00Z;23.1;23.2;23.12;23.12;21.8;22.6;22.33;336.03;120.97;32.53;0;3.15;1021.12;1021.12;20954.1;7543.48;0;14.08;14.08;42.06;42.06
67;1;2020-04-22T18:00:00Z;21.7;22.9;22.3;22.3;23.5;27.4;25.58;154.45;55.6;11.3;0;2.53;1043.42;1043.42;21108.55;7599.08;0;14.08;14.08;42.06;42.06
68;1;2020-04-22T19:00:00Z;18.5;20.9;19.62;19.62;29.9;33.9;32.02;18.03;6.49;2.88;0;1.38;1063.05;1063.05;21126.58;7605.57;0;14.08;14.08;42.06;42.06
69;1;2020-04-22T20:00:00Z;17;18.1;17.62;17.62;34.4;36.8;35.35;0;0;0.22;0;1.38;1080.67;1080.67;21126.58;7605.57;0;14.08;14.08;42.06;42.06
70;1;2020-04-22T21:00:00Z;15.5;16.6;16.05;16.05;37.6;40.1;38.88;0;0;0.2;0;0.83;1096.72;1096.72;21126.58;7605.57;0;14.08;14.08;42.06;42.06
71;1;2020-04-22T22:00:00Z;14.9;15.1;14.98;14.98;40.7;41.3;41.05;0;0;0.2;0;1.18;1111.7;1111.7;21126.58;7605.57;0;14.08;14.08;42.06;42.06
72;1;2020-04-22T23:00:00Z;14.5;14.9;14.73;14.73;41.1;42.1;41.5;0;0;0.2;0;1.48;1126.42;1126.42;21126.58;7605.57;0;14.08;14.08;42.06;42.06
73;1;2020-04-23T00:00:00Z;13.4;14.3;13.98;13.98;42.6;44.8;43.45;0;0;0.2;0;0.73;1140.4;1140.4;21126.58;7605.57;0;14.14;14.14;56.2;56.2
74;1;2020-04-23T01:00:00Z;10.1;12.6;11.1;11.1;47.2;60.1;55.43;0;0;0.2;0;0.62;1151.5;1151.5;21126.58;7605.57;0;14.14;14.14;56.2;56.2
75;1;2020-04-23T02:00:00Z;8.9;9.5;9.2;9.2;64.2;67.6;65.53;0;0;0.2;0;0.48;1160.7;1160.7;21126.58;7605.57;0;14.14;14.14;56.2;56.2
76;1;2020-04-23T03:00:00Z;8.4;9.3;8.73;0;65.3;69.2;67.28;0;0;0.2;0;0.55;1169.42;1160.7;21126.58;7605.57;0;14.14;14.14;56.2;56.2
77;1;2020-04-23T04:00:00Z;7.3;7.7;7.5;0;69.1;72.2;70.85;0;0;0.2;0;0.58;1176.92;1160.7;21126.58;7605.57;0;14.14;14.14;56.2;56.2
78;1;2020-04-23T05:00:00Z;6.6;7.2;6.85;0;73.1;75.2;74.28;3.55;1.28;1.08;0;0.5;1183.77;1160.7;21130.13;7606.85;0;14.14;14.14;56.2;56.2
79;1;2020-04-23T06:00:00Z;7.3;10.6;9.12;9.12;68.3;73.8;70.1;94.1;33.88;7.25;0;0.58;1192.9;1169.82;21224.23;7640.72;0;14.14;14.14;56.2;56.2
80;1;2020-04-23T07:00:00Z;11.9;14.2;12.9;12.9;47.2;63.4;56.68;263.25;94.77;24.82;0;0.83;1205.8;1182.72;21487.48;7735.49;0;14.14;14.14;56.2;56.2
81;1;2020-04-23T08:00:00Z;14.4;15.4;14.9;14.9;42.7;46.4;44.33;442.6;159.34;44.53;0;2;1220.7;1197.62;21930.08;7894.83;0;14.14;14.14;56.2;56.2
82;1;2020-04-23T09:00:00Z;15.8;17;16.25;16.25;40.4;41.8;41.28;604.6;217.66;64.65;0;2.1;1236.95;1213.87;22534.68;8112.48;0;14.14;14.14;56.2;56.2
83;1;2020-04-23T10:00:00Z;17;18.4;17.62;17.62;36.1;39.6;38.15;730.08;262.83;81.08;0;1.8;1254.57;1231.5;23264.75;8375.31;0;14.14;14.14;56.2;56.2
84;1;2020-04-23T11:00:00Z;18.7;19;18.85;18.85;34;35.7;34.95;812.68;292.56;91.83;0;1.78;1273.42;1250.35;24077.42;8667.87;0;14.14;14.14;56.2;56.2
85;1;2020-04-23T12:00:00Z;19.2;20.2;19.73;19.73;32.4;34.4;33.15;846.68;304.8;96.2;0;1.9;1293.15;1270.07;24924.1;8972.68;0;14.14;14.14;56.2;56.2
86;1;2020-04-23T13:00:00Z;20.4;21.2;20.73;20.73;31.2;31.3;31.23;829.6;298.66;94.12;0;1.9;1313.87;1290.8;25753.7;9271.33;0;14.14;14.14;56.2;56.2
87;1;2020-04-23T14:00:00Z;21.8;22.3;22.08;22.08;28.7;30.1;29.35;765.1;275.44;85.12;0;1.38;1335.95;1312.87;26518.8;9546.77;0;14.14;14.14;56.2;56.2
88;1;2020-04-23T15:00:00Z;22.1;23.1;22.6;22.6;28;28.9;28.62;652.65;234.95;69.2;0;1.33;1358.55;1335.47;27171.45;9781.72;0;14.14;14.14;56.2;56.2
89;1;2020-04-23T16:00:00Z;22.5;22.7;22.62;22.62;28.9;29.2;29.08;503.85;181.39;52.73;0;1.35;1381.17;1358.1;27675.3;9963.11;0;14.14;14.14;56.2;56.2
90;1;2020-04-23T17:00:00Z;22.6;23.2;22.92;22.92;27.4;29.1;28.25;330.6;119.02;30.45;0;1;1404.1;1381.02;28005.9;10082.12;0;14.14;14.14;56.2;56.2
91;1;2020-04-23T18:00:00Z;22.5;23.1;22.75;22.75;27.9;28.6;28.2;146.6;52.78;11.55;0;0.52;1426.85;1403.77;28152.5;10134.9;0;14.14;14.14;56.2;56.2
92;1;2020-04-23T19:00:00Z;15.5;21.7;18.3;18.3;32.6;48.3;40.9;14.03;5.05;2.85;0;0.52;1445.15;1422.07;28166.52;10139.95;0;14.14;14.14;56.2;56.2
93;1;2020-04-23T20:00:00Z;13.4;15;14.23;14.23;49.1;51.9;50.4;0;0;0.22;0;1.12;1459.37;1436.3;28166.52;10139.95;0;14.14;14.14;56.2;56.2
94;1;2020-04-23T21:00:00Z;11.6;13;12.35;12.35;52.3;56.3;54.35;0;0;0.2;0;1;1471.72;1448.65;28166.52;10139.95;0;14.14;14.14;56.2;56.2
95;1;2020-04-23T22:00:00Z;10.1;11.2;10.75;10.75;59.4;61.1;59.98;0;0;0.2;0;0.62;1482.47;1459.4;28166.52;10139.95;0;14.14;14.14;56.2;56.2
96;1;2020-04-23T23:00:00Z;8.8;9.7;9.23;9.23;62.6;67.1;65.1;0;0;0.2;0;0.4;1491.7;1468.62;28166.52;10139.95;0;14.14;14.14;56.2;56.2
97;1;2020-04-24T00:00:00Z;7.7;8.5;8.03;0;68.7;73.8;70.9;0;0;0.2;0;0.35;1499.72;1468.62;28166.52;10139.95;0;14.19;14.19;70.39;70.39
98;1;2020-04-24T01:00:00Z;7.1;7.5;7.3;0;74;79.7;77.38;0;0;0.2;0;0.25;1507.02;1468.62;28166.52;10139.95;0;14.19;14.19;70.39;70.39
99;1;2020-04-24T02:00:00Z;6.8;7;6.85;0;79.2;79.9;79.58;0;0;0.2;0;0.1;1513.87;1468.62;28166.52;10139.95;0;14.19;14.19;70.39;70.39
100;1;2020-04-24T03:00:00Z;6.6;7.2;6.9;0;76.2;79.5;78;0;0;0.2;0;0.32;1520.77;1468.62;28166.52;10139.95;0;14.19;14.19;70.39;70.39
101;1;2020-04-24T04:00:00Z;6.1;7.2;6.62;0;76.7;80.6;78.4;0;0;0.2;0;0.35;1527.4;1468.62;28166.52;10139.95;0;14.19;14.19;70.39;70.39
102;1;2020-04-24T05:00:00Z;5.9;6.7;6.32;0;78.9;82.7;80.33;3.15;1.13;0.85;0;0.2;1533.72;1468.62;28169.67;10141.08;0;14.19;14.19;70.39;70.39
103;1;2020-04-24T06:00:00Z;6.2;7.7;6.88;0;78.5;83.2;81.5;55.05;19.82;6.98;0;0.2;1540.6;1468.62;28224.72;10160.9;0;14.19;14.19;70.39;70.39
104;1;2020-04-24T07:00:00Z;8.4;10.8;9.58;9.58;66.7;74.6;70.88;172.93;62.25;19.5;0;0.25;1550.17;1478.2;28397.65;10223.15;0;14.19;14.19;70.39;70.39
105;1;2020-04-24T08:00:00Z;11.2;12.2;11.9;11.9;62.1;65.7;63.25;359;129.24;37.88;0;0.7;1562.07;1490.1;28756.65;10352.39;0;14.19;14.19;70.39;70.39
106;1;2020-04-24T09:00:00Z;12.5;15.1;13.9;13.9;56;61.9;58.85;379.65;136.67;42.93;0;0.6;1575.97;1504;29136.3;10489.07;0;14.19;14.19;70.39;70.39
107;1;2020-04-24T10:00:00Z;15.8;18.7;17.08;17.08;50.6;55;53.03;560.48;201.77;63.45;0;0.8;1593.05;1521.07;29696.77;10690.84;0;14.19;14.19;70.39;70.39
108;1;2020-04-24T11:00:00Z;19.6;22;21.27;21.27;34.8;47.7;38.9;767.25;276.21;86.1;0;1.93;1614.32;1542.35;30464.02;10967.05;0;14.19;14.19;70.39;70.39
109;1;2020-04-24T12:00:00Z;22.5;23.1;22.85;22.85;31.2;32.6;31.65;816.6;293.98;91.8;0;2.72;1637.17;1565.2;31280.62;11261.03;0;14.19;14.19;70.39;70.39
110;1;2020-04-24T13:00:00Z;23.3;23.6;23.42;23.42;30.3;30.8;30.6;802.58;288.93;90.12;0;2.45;1660.6;1588.62;32083.2;11549.95;0;14.19;14.19;70.39;70.39
111;1;2020-04-24T14:00:00Z;24;24.1;24.08;24.08;30.1;30.7;30.4;731.08;263.19;79.4;0;2.62;1684.67;1612.7;32814.27;11813.14;0;14.19;14.19;70.39;70.39
112;1;2020-04-24T15:00:00Z;24.4;24.6;24.5;24.5;24.3;28.7;26.38;622.2;223.99;60.78;0;2.72;1709.17;1637.2;33436.47;12037.13;0;14.19;14.19;70.39;70.39
113;1;2020-04-24T16:00:00Z;23.8;24.4;24.2;24.2;22.2;25;23.1;461.28;166.06;43.88;0;2.53;1733.37;1661.4;33897.75;12203.19;0;14.19;14.19;70.39;70.39
114;1;2020-04-24T17:00:00Z;22.4;23.9;23.15;23.15;25.8;32.1;30.12;306.58;110.37;29.42;0;2.98;1756.52;1684.55;34204.32;12313.56;0;14.19;14.19;70.39;70.39
115;1;2020-04-24T18:00:00Z;20.5;21.8;21.33;21.33;30.9;31.5;31.28;156.5;56.34;13.7;0;3.33;1777.85;1705.87;34360.82;12369.9;0;14.19;14.19;70.39;70.39
116;1;2020-04-24T19:00:00Z;17.4;19.8;18.62;18.62;33.2;41.6;37.45;20.88;7.52;3.05;0;2.4;1796.47;1724.5;34381.7;12377.41;0;14.19;14.19;70.39;70.39
117;1;2020-04-24T20:00:00Z;15.7;16.6;16;16;44.1;48.9;46.8;0;0;0.22;0;1.38;1812.47;1740.5;34381.7;12377.41;0;14.19;14.19;70.39;70.39
118;1;2020-04-24T21:00:00Z;15;15.8;15.28;15.28;49;51.4;50.25;0;0;0.2;0;1.05;1827.75;1755.77;34381.7;12377.41;0;14.19;14.19;70.39;70.39
119;1;2020-04-24T22:00:00Z;13.4;14.1;13.7;13.7;52.5;54.8;53.7;0;0;0.2;0;1.25;1841.45;1769.47;34381.7;12377.41;0;14.19;14.19;70.39;70.39
120;1;2020-04-24T23:00:00Z;12;13.4;12.68;12.68;54;58.1;55.93;0;0;0.2;0;1.48;1854.12;1782.15;34381.7;12377.41;0;14.19;14.19;70.39;70.39
121;1;2020-04-25T00:00:00Z;11.5;13.1;12.35;12.35;51.1;54.4;52.4;0;0;0.2;0;0.83;1866.47;1794.5;34381.7;12377.41;0;14.25;14.25;84.64;84.64
122;1;2020-04-25T01:00:00Z;10.9;11.7;11.3;11.3;51.4;55.9;53.48;0;0;0.2;0;0.5;1877.77;1805.8;34381.7;12377.41;0;14.25;14.25;84.64;84.64
123;1;2020-04-25T02:00:00Z;9.9;10.7;10.43;10.43;56.9;61.2;58.83;0;0;0.2;0;0.62;1888.2;1816.22;34381.7;12377.41;0;14.25;14.25;84.64;84.64
124;1;2020-04-25T03:00:00Z;9.3;9.9;9.55;9.55;62.2;65.2;63.95;0;0;0.2;0;0.52;1897.75;1825.77;34381.7;12377.41;0;14.25;14.25;84.64;84.64
125;1;2020-04-25T04:00:00Z;8.9;9.7;9.35;9.35;64.3;67;65.65;0;0;0.2;0;0.75;1907.1;1835.12;34381.7;12377.41;0;14.25;14.25;84.64;84.64
126;1;2020-04-25T05:00:00Z;8.4;9.1;8.8;0;66.9;69.6;68.05;4.68;1.68;1.3;0;0.83;1915.9;1835.12;34386.37;12379.1;0;14.25;14.25;84.64;84.64
127;1;2020-04-25T06:00:00Z;8.7;10.1;9.5;9.5;67.1;70.2;68.18;119.67;43.08;9.1;0;1;1925.4;1844.62;34506.05;12422.18;0;14.25;14.25;84.64;84.64
128;1;2020-04-25T07:00:00Z;9.7;10;9.83;9.83;66.3;69.2;67.72;298.6;107.5;26.75;0;2.62;1935.22;1854.45;34804.65;12529.67;0;14.25;14.25;84.64;84.64
129;1;2020-04-25T08:00:00Z;9.2;10.9;10.15;10.15;61.1;68.8;65.03;458.45;165.04;46.55;0;2.68;1945.37;1864.6;35263.1;12694.72;0;14.25;14.25;84.64;84.64
130;1;2020-04-25T09:00:00Z;10.8;11.7;11.15;11.15;57.5;60.6;59.45;616.55;221.96;66.45;0;2.62;1956.52;1875.75;35879.65;12916.67;0;14.25;14.25;84.64;84.64
131;1;2020-04-25T10:00:00Z;11.9;13.3;12.68;12.68;51.9;56.7;54.65;741.4;266.9;82.08;0;2.1;1969.2;1888.42;36621.05;13183.58;0;14.25;14.25;84.64;84.64
132;1;2020-04-25T11:00:00Z;13.5;14.8;14.25;14.25;46.1;50.5;48.15;824.78;296.92;93.65;0;1.83;1983.45;1902.67;37445.82;13480.5;0;14.25;14.25;84.64;84.64
133;1;2020-04-25T12:00:00Z;15.1;15.5;15.23;15.23;44.5;46.6;45.73;854.4;307.58;98.6;0;2.18;1998.67;1917.9;38300.22;13788.08;0;14.25;14.25;84.64;84.64
134;1;2020-04-25T13:00:00Z;15.6;16.5;16.12;16.12;40.9;43.9;42.65;839.75;302.31;96.63;0;2.1;2014.8;1934.02;39139.97;14090.39;0;14.25;14.25;84.64;84.64
135;1;2020-04-25T14:00:00Z;16.7;17.6;17.18;17.18;38.6;40;39.3;779.35;280.57;87.72;0;2.1;2031.97;1951.2;39919.32;14370.96;0;14.25;14.25;84.64;84.64
136;1;2020-04-25T15:00:00Z;17.7;18.2;17.98;17.98;35.3;38.2;36.75;661.92;238.29;71.83;0;1.88;2049.95;1969.17;40581.25;14609.25;0;14.25;14.25;84.64;84.64
137;1;2020-04-25T16:00:00Z;18.4;18.9;18.58;18.58;33.8;34.4;34.15;510.1;183.64;53.77;0;1.4;2068.52;1987.75;41091.35;14792.89;0;14.25;14.25;84.64;84.64
138;1;2020-04-25T17:00:00Z;18.6;18.8;18.65;18.65;31.7;33.8;32.58;342.33;123.24;32.38;0;1.28;2087.17;2006.4;41433.67;14916.12;0;14.25;14.25;84.64;84.64
