m,s
78.0716352201258,25.4499491095102
81.8153647798742,19.1073034307619
83.6874811320754,17.2797267107355
87.431210691824,17.7542333824858
88.2127232704401,13.2264343698678
90.8670754716981,14.4609590324406
32.3194968553459,9.0057563437936
18.3185283018868,4.4966107617289
18.0101886792453,5.29624384177974
12.0308176100629,4.11730984541956
24.3569182389937,5.55607825724325
65.8577861635221,11.3754280082492
44.5851572327045,12.5093865250825
87.6252830188676,7.93935730083421
5263.79770440253,1721.37161409006
1.26223270440251,0.456305224697734
15.0082075471698,0.933136907451812
14.460962264151,2.98854349371141
568.097603773581,191.625196016538
544.04937106918,215.281450060018
174744.655339622,46153.265471005
42.4876100628933,28.8880862414753
485.304503144658,131.120367640456
438.326987421386,138.434069537555
20,1
30,1
50,1
1.20000000000003,1
2.8605387971109,1.17456018526678
18.7023556760872,3.07096681493105
3.53587421383647,6.68523675864176
