"satz_id";"variante_H2O";"wiederholung";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
2;"Wfull";"a";66.25;89.58;97.35;70.92;91.8;98.46;24;21.86;21.86;13.3;28.6;64.55;39.2;94;5535.32;0.81;14.14;14.14;561.64;551.03;131703.88;13.2;354.1;354.1;20;30;50;1.2;3.49596514212954;19.4155675568415;0.4;9.4
2;"Wfull";"a";63.49;87.91;96.74;66.25;89.58;97.35;25;24.94;24.94;18.4;32.8;68;40.5;94.7;5629.4;0.85;14.08;14.08;586.57;575.97;137333.28;18;368.18;368.18;20;30;50;1.2;3.60390955013988;19.7516435036782;4.8;0.4
2;"Wfull";"a";59.88;85.55;96.24;63.49;87.91;96.74;26;26.29;25;18.5;31.9;62.37;44.4;92.4;4161.3;1.07;14.02;14.02;612.87;600.97;141494.58;18;382.2;382.2;20;30;50;1.2;3.69509178837852;20.0766583697918;0;4.8
2;"Wfull";"a";56.35;82.32;95.22;59.88;85.55;96.24;27;22.9;22.9;16.5;27.6;64.04;37.7;92.7;4967.32;1.54;13.96;13.96;635.77;623.87;146461.9;19.6;396.16;396.16;20;30;50;1.2;3.77142143290444;20.3905367434525;1.6;0
2;"Wfull";"a";54.46;79.24;94.08;56.35;82.32;95.22;28;20.26;20.26;16.2;24.7;59.17;38.2;79.8;5058.23;1.61;13.91;13.91;656.03;644.13;151520.12;19.6;410.07;410.07;20;30;50;1.2;3.83488901836916;20.6934700334174;0;1.6
2;"Wfull";"a";53.29;76.02;92.92;54.46;79.24;94.08;29;18.63;18.63;13.5;23.7;61.74;42.7;86.6;4274.88;1.17;13.85;13.85;674.65;662.76;155795;19.6;423.92;423.92;20;30;50;1.2;3.88730701720761;20.9852555358253;19.2;0
2;"Wfull";"a";53.07;75.77;92.02;53.29;76.02;92.92;30;19.1;19.1;11.9;24.9;61.73;44.9;87;2958.6;0.82;13.79;13.79;693.75;681.86;158753.6;19.6;437.71;437.71;20;30;50;1.2;3.93039419810987;21.2659634453415;0;19.2
2;"Wfull";"a";53.83;73.41;90.84;53.07;75.77;92.02;31;20.74;20.74;15.2;24.6;54.08;41;74.5;3777.52;2.8;13.73;13.73;714.49;702.6;162531.12;19.6;451.44;451.44;20;30;50;1.2;3.96568006769501;21.5357042760286;0;0
2;"Wfull";"a";54.45;71.42;89.81;53.83;73.41;90.84;32;18.49;18.49;10.7;24.8;61.9;38.6;91.6;4482.3;0.82;13.67;13.67;732.98;721.08;167013.42;19.6;465.11;465.11;20;30;50;1.2;3.99449449292314;21.7946246329334;0;0
2;"Wfull";"a";55.03;69.91;89.1;54.45;71.42;89.81;33;18.91;18.91;13.5;23.9;66.7;42.6;93.2;3916.05;1.18;13.61;13.61;751.89;740;170929.48;20;478.72;478.72;20;30;50;1.2;4.0179736349571;22.0429030475196;0.4;0
