"tage_seit_aussaat";"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"wetter_id";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"par_Wh_m2";"windgeschwindigkeit_m_s";"FAO56_mm";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"FAO56_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"wasser_input_Vortag"
44;49.97;62.99;69.5;82.52;83.59;91.17;102;17.25;17.25;6.8;27.7;60.64;31;93.8;5511.1;609.52;0.69;3;12.95;12.95;938.17;926.27;212527.83;46;153.8;624.47;624.47;20;30;50;1.2;57.15;69.01;74.95;86.81;86.31;91.73;0
45;64.02;68.22;70.31;74.51;81.28;90.16;103;19.18;19.18;10.1;26.7;68.12;47.3;91.2;4483.5;507.1;0.87;2.7;12.89;12.89;957.35;945.46;217011.33;46;156.5;637.36;637.36;20;30;50;1.2;49.97;62.99;69.5;82.52;83.59;91.17;18.8
46;87.28;79;74.86;66.58;80.35;89.97;104;20.12;20.12;16.7;25;63.91;45.5;82.5;4313.88;487.3;1.03;2.8;12.83;12.83;977.47;965.58;221325.2;46;159.3;650.19;650.19;20;30;50;1.2;64.02;68.22;70.31;74.51;81.28;90.16;0
4;103.16;101.44;100.57;98.85;100.32;100.92;62;22.54;22.54;12.1;31.3;48.06;25.2;83.7;7475.7;856;0.89;5;15.19;15.19;87.77;87.77;26398.03;0;18.5;61.04;61.04;20;30;50;1.2;87.28;79;74.86;66.58;80.35;89.97;0
5;106.78;103.32;101.6;98.14;99.66;99.44;63;25.26;25;13.4;35.3;46.55;25.6;77.8;7472.48;848.68;0.78;5.3;15.14;15.14;113.04;112.77;33870.5;0;23.8;76.18;76.18;20;30;50;1.2;103.16;101.44;100.57;98.85;100.32;100.92;9
6;101.46;100.72;100.34;99.6;99.61;99.25;64;24.81;24.81;15.9;33.2;59.9;39.7;83.5;3696.62;440.02;0.78;3.2;15.09;15.09;137.85;137.59;37567.12;0.1;27;91.27;91.27;20;30;50;1.2;106.78;103.32;101.6;98.14;99.66;99.44;0.5
7;117.9;109.88;105.87;97.85;100.43;98.99;65;23.05;23.05;17.5;28.4;61.7;38.4;88.1;5390.23;624.62;1.77;4.3;15.05;15.05;160.9;160.64;42957.35;6.2;31.3;106.32;106.32;20;30;50;1.2;101.46;100.72;100.34;99.6;99.61;99.25;9.1
8;106.92;105.76;105.19;104.03;101.77;98.93;66;19.57;19.57;16.6;24.7;62.77;38.6;79;3261.4;409.9;1.44;3;15;15;180.47;180.21;46218.75;6.2;34.3;121.32;121.32;20;30;50;1.2;117.9;109.88;105.87;97.85;100.43;98.99;6.1
9;102.21;102.73;102.99;103.51;102.09;100.93;67;19.96;19.96;14.9;26.7;55.62;36.2;77;5479.02;615.02;1.49;4.1;14.95;14.95;200.43;200.17;51697.78;6.2;38.4;136.27;136.27;20;30;50;1.2;106.92;105.76;105.19;104.03;101.77;98.93;0
10;99.59;100.81;101.41;102.63;101.94;101.86;68;20.43;20.43;10.4;28.4;52.58;28.4;84;7145.05;808.4;0.88;4.5;14.9;14.9;220.86;220.6;58842.82;6.2;42.9;151.17;151.17;20;30;50;1.2;102.21;102.73;102.99;103.51;102.09;100.93;0
11;98.59;99.81;100.43;101.65;101.71;102.39;69;22.59;22.59;12.2;31.1;53.49;33.3;84.5;7203;812.45;0.91;4.8;14.84;14.84;243.45;243.18;66045.82;6.2;47.7;166.01;166.01;20;30;50;1.2;99.59;100.81;101.41;102.63;101.94;101.86;4.8
12;97.6;99.08;99.82;101.3;101.64;102.72;70;25.39;25;14.4;34.5;52.22;30.1;86.8;7013.95;791.25;0.89;5;14.79;14.79;268.84;268.18;73059.77;6.2;52.7;180.8;180.8;20;30;50;1.2;98.59;99.81;100.43;101.65;101.71;102.39;0
13;103.16;101.72;101.01;99.57;101.55;102.81;71;27.41;25;17.1;36.4;51.94;28.9;84.7;6830.08;769.28;0.68;5;14.74;14.74;296.25;293.18;79889.85;6.2;57.7;195.54;195.54;20;30;50;1.2;97.6;99.08;99.82;101.3;101.64;102.72;9.3
14;100.23;100.25;100.25;100.27;101.36;102.46;72;27.81;25;17.9;37.1;50.07;26.4;79.1;6438.02;722.1;1.11;5.3;14.69;14.69;324.06;318.18;86327.88;6.2;63;210.23;210.23;20;30;50;1.2;103.16;101.72;101.01;99.57;101.55;102.81;0
15;94.89;97.31;98.52;100.94;101.15;102.57;73;27.31;25;21.5;34.8;53.54;32.8;73.7;4166.65;480.72;0.86;3.8;14.63;14.63;351.37;343.18;90494.52;6.2;66.8;224.86;224.86;20;30;50;1.2;100.23;100.25;100.25;100.27;101.36;102.46;0
16;89.85;94.25;96.46;100.86;100.53;102.41;74;26.91;25;20.6;35.5;59.86;34;82.7;4299.68;504.42;1.11;4;14.58;14.58;378.27;368.18;94794.2;6.4;70.8;239.44;239.44;20;30;50;1.2;94.89;97.31;98.52;100.94;101.15;102.57;0
17;92.05;94.77;96.12;98.84;99.71;101.95;75;25.51;25;18.5;34.4;67.13;41.6;89.5;5337.62;611.25;1.31;4.3;14.53;14.53;403.79;393.18;100131.82;9;75.1;253.97;253.97;20;30;50;1.2;89.85;94.25;96.46;100.86;100.53;102.41;9.2
18;94.28;95.62;96.28;97.62;99.05;101.15;76;22.46;22.46;18.7;25.9;81.23;61.9;94.5;2541.15;330.8;0.75;2.1;14.47;14.47;426.25;415.65;102672.98;12.5;77.2;268.44;268.44;20;30;50;1.2;92.05;94.77;96.12;98.84;99.71;101.95;2.6
19;94.44;95.64;96.25;97.45;98.67;100.49;77;22.24;22.24;18.8;29.3;78.51;51.3;93.8;3814.6;470.75;0.81;2.8;14.42;14.42;448.49;437.88;106487.57;12.8;80;282.86;282.86;20;30;50;1.2;94.28;95.62;96.28;97.62;99.05;101.15;3.5
20;88.33;92.39;94.41;98.47;98.48;100.52;78;22.9;22.9;17;28.7;73.56;50.1;95.4;4739.68;574.25;0.84;3.3;14.36;14.36;471.39;460.78;111227.25;12.8;83.3;297.22;297.22;20;30;50;1.2;94.44;95.64;96.25;97.45;98.67;100.49;0.3
21;78.04;86.82;91.21;99.99;97.99;100.39;79;24.6;24.6;17.1;32.1;66.21;38.9;94;5566.32;643.28;1.3;4.2;14.3;14.3;495.99;485.39;116793.57;12.8;87.5;311.52;311.52;20;30;50;1.2;88.33;92.39;94.41;98.47;98.48;100.52;0
22;67.21;80.75;87.51;101.05;97.15;100.01;80;22.38;22.38;18.4;28.6;66.27;42.9;81.5;3760.6;452.18;1.12;3.1;14.25;14.25;518.37;507.76;120554.18;12.8;90.6;325.77;325.77;20;30;50;1.2;78.04;86.82;91.21;99.99;97.99;100.39;0
23;57.52;75.24;84.09;101.81;96.46;99.98;81;21.41;21.41;15.4;28;64.77;39.7;88.6;5614.38;651.65;1.12;3.8;14.19;14.19;539.77;529.17;126168.55;12.8;94.4;339.96;339.96;20;30;50;1.2;67.21;80.75;87.51;101.05;97.15;100.01;0
24;50.66;70.94;81.09;101.37;95.53;99.83;82;21.86;21.86;13.3;28.6;64.55;39.2;94;5535.32;634.38;0.81;3.6;14.14;14.14;561.64;551.03;131703.88;13.2;98;354.1;354.1;20;30;50;1.2;57.52;75.24;84.09;101.81;96.46;99.98;0
25;45.67;67.61;78.59;100.53;94.81;100.07;83;24.94;24.94;18.4;32.8;68;40.5;94.7;5629.4;662.58;0.85;4.1;14.08;14.08;586.57;575.97;137333.28;18;102.1;368.18;368.18;20;30;50;1.2;50.66;70.94;81.09;101.37;95.53;99.83;0.4
26;43.12;65.38;76.52;98.78;93.89;100.13;84;26.29;25;18.5;31.9;62.37;44.4;92.4;4161.3;494.48;1.07;3.5;14.02;14.02;612.87;600.97;141494.58;18;105.6;382.2;382.2;20;30;50;1.2;45.67;67.61;78.59;100.53;94.81;100.07;4.8
27;42.09;63.63;74.41;95.95;92.39;99.61;85;22.9;22.9;16.5;27.6;64.04;37.7;92.7;4967.32;579.1;1.54;3.7;13.96;13.96;635.77;623.87;146461.9;19.6;109.3;396.16;396.16;20;30;50;1.2;43.12;65.38;76.52;98.78;93.89;100.13;0
28;42.24;62.36;72.43;92.55;90.94;99.4;86;20.26;20.26;16.2;24.7;59.17;38.2;79.8;5058.23;587.48;1.61;3.7;13.91;13.91;656.03;644.13;151520.12;19.6;113;410.07;410.07;20;30;50;1.2;42.09;63.63;74.41;95.95;92.39;99.61;1.6
29;43.12;61.34;70.45;88.67;89.37;99.19;87;18.63;18.63;13.5;23.7;61.74;42.7;86.6;4274.88;497.48;1.17;3;13.85;13.85;674.65;662.76;155795;19.6;116;423.92;423.92;20;30;50;1.2;42.24;62.36;72.43;92.55;90.94;99.4;0
30;45.63;61.11;68.86;84.34;87.56;98.52;88;19.1;19.1;11.9;24.9;61.73;44.9;87;2958.6;358.65;0.82;2.3;13.79;13.79;693.75;681.86;158753.6;19.6;118.3;437.71;437.71;20;30;50;1.2;43.12;61.34;70.45;88.67;89.37;99.19;0
31;46.6;59.5;65.96;78.86;85.52;98.62;89;20.74;20.74;15.2;24.6;54.08;41;74.5;3777.52;428.12;2.8;3.9;13.73;13.73;714.49;702.6;162531.12;19.6;122.2;451.44;451.44;20;30;50;1.2;45.63;61.11;68.86;84.34;87.56;98.52;0
32;46.95;57.71;63.1;73.86;83.43;98.37;90;18.49;18.49;10.7;24.8;61.9;38.6;91.6;4482.3;516.05;0.82;2.8;13.67;13.67;732.98;721.08;167013.42;19.6;125;465.11;465.11;20;30;50;1.2;46.6;59.5;65.96;78.86;85.52;98.62;0
33;48.21;56.41;60.51;68.71;81.5;98.38;91;18.91;18.91;13.5;23.9;66.7;42.6;93.2;3916.05;466.2;1.18;2.7;13.61;13.61;751.89;740;170929.48;20;127.7;478.72;478.72;20;30;50;1.2;46.95;57.71;63.1;73.86;83.43;98.37;0
34;50.51;55.59;58.12;63.2;79.21;97.75;92;16.79;16.79;11.1;22.2;71.03;49.9;94.1;3823.07;461.95;1.2;2.5;13.55;13.55;768.68;756.79;174752.55;20;130.2;492.27;492.27;20;30;50;1.2;48.21;56.41;60.51;68.71;81.5;98.38;0.4
35;50.79;54.41;56.22;59.84;77.34;96.64;93;16.86;16.86;12.4;21.5;71.5;54.3;88;2102.15;272.68;1;1.8;13.49;13.49;785.54;773.64;176854.7;20;132;505.76;505.76;20;30;50;1.2;50.51;55.59;58.12;63.2;79.21;97.75;0
36;51.06;53.7;55.01;57.65;75.83;95.33;94;16.03;16.03;12.9;21.7;86.12;62.2;93.9;2835.7;343.6;0.77;1.8;13.43;13.43;801.57;789.67;179690.4;46;133.8;519.19;519.19;20;30;50;1.2;50.79;54.41;56.22;59.84;77.34;96.64;0
37;52.8266666666667;54.22;54.91;56.3033333333333;74.95;94.15;95;16.95;16.95;14;22.6;71.54;45.1;90.9;3418.85;407.12;1.54;2.5;13.37;13.37;818.52;806.62;183109.25;46;136.3;532.56;532.56;20;30;50;1.2;51.06;53.7;55.01;57.65;75.83;95.33;26
38;54.5933333333333;54.74;54.81;54.9566666666667;73.52;92.12;96;16.98;16.98;11.3;22.9;65.71;42.1;83.2;4710.68;539.88;0.89;2.7;13.31;13.31;835.49;823.59;187819.92;46;139;545.87;545.87;20;30;50;1.2;52.8266666666667;54.22;54.91;56.3033333333333;74.95;94.15;0
39;56.36;55.26;54.71;53.61;72.38;90.6;97;15.21;15.21;8.8;21.6;76.65;50.8;93.3;2353.12;304.8;0.56;1.6;13.25;13.25;850.7;838.8;190173.05;46;140.6;559.12;559.12;20;30;50;1.2;54.5933333333333;54.74;54.81;54.9566666666667;73.52;92.12;0
40;55.65;54.77;54.33;53.45;71.32;88.76;98;21.57;21.57;15.6;28.6;62.44;39.5;85.8;3545.18;427.1;0.76;2.6;13.19;13.19;872.27;860.37;193718.22;46;143.2;572.31;572.31;20;30;50;1.2;56.36;55.26;54.71;53.61;72.38;90.6;0
41;54.47;53.93;53.66;53.12;69.61;85.83;99;17.91;17.91;13.9;23.2;71.94;50.9;95.9;3714.1;441.8;1.39;2.5;13.13;13.13;890.18;878.28;197432.33;46;145.7;585.44;585.44;20;30;50;1.2;55.65;54.77;54.33;53.45;71.32;88.76;0
42;53.54;53.22;53.07;52.75;67.54;82.16;100;14.85;14.85;8.7;21.1;64.62;37.7;91;3928.95;455.55;0.8;2.2;13.07;13.07;905.03;893.14;201361.28;46;147.9;598.51;598.51;20;30;50;1.2;54.47;53.93;53.66;53.12;69.61;85.83;0
43;53.23;52.97;52.84;52.58;65.71;78.71;101;15.89;15.89;8.4;24.1;62.14;35.3;91.6;5655.45;604.98;0.81;2.9;13.01;13.01;920.92;909.03;207016.72;46;150.8;611.52;611.52;20;30;50;1.2;53.54;53.22;53.07;52.75;67.54;82.16;0
44;52.96;52.76;52.67;52.47;62.68;72.8;102;17.25;17.25;6.8;27.7;60.64;31;93.8;5511.1;609.52;0.69;3;12.95;12.95;938.17;926.27;212527.83;46;153.8;624.47;624.47;20;30;50;1.2;53.23;52.97;52.84;52.58;65.71;78.71;0
45;52.48;52.54;52.57;52.63;60.32;68.04;103;19.18;19.18;10.1;26.7;68.12;47.3;91.2;4483.5;507.1;0.87;2.7;12.89;12.89;957.35;945.46;217011.33;46;156.5;637.36;637.36;20;30;50;1.2;52.96;52.76;52.67;52.47;62.68;72.8;0
46;52.75;52.85;52.89;52.99;58.75;64.57;104;20.12;20.12;16.7;25;63.91;45.5;82.5;4313.88;487.3;1.03;2.8;12.83;12.83;977.47;965.58;221325.2;46;159.3;650.19;650.19;20;30;50;1.2;52.48;52.54;52.57;52.63;60.32;68.04;0
11;90.97;93.01;94.04;96.08;91.37;87.67;122;5.88;0;1.4;9.5;62.2;43.6;77;3255.98;392.4;1.33;1.7;13.71;0;62.16;9.67;39871.82;10;19.3;147.5;13.35;20;30;50;1.2;52.75;52.85;52.89;52.99;58.75;64.57;0
12;89.69;91.85;92.94;95.1;90.82;87.62;123;8.08;0;2.6;13.2;58.52;36;86.4;4816.3;535.2;1.32;2.4;13.77;0;70.23;9.67;44688.12;10;21.7;161.27;13.35;20;30;50;1.2;90.97;93.01;94.04;96.08;91.37;87.67;0
