m,s
7.38103879169818,6.76641910919176
3.70369359522572,6.26566458734961
11.1565876856014,7.87121940365442
80.1806608245804,12.3249071440995
70.0856029470356,16.9750696913888
90.3725234524974,8.92881685953382
2418.04877522887,2165.45873097676
3.76466859698347,2.11799139492
2.02388628601435,4.51251423124386
0,1
0,1
0,1
0,1
2.20812565382489,4.93042231239116
86.5682609890637,21.6277279846012
91.8280313537998,19.0467416437628
0,1
0,1
