"Datum";"Tmax";"Tmin";"Tmean";"RF";"Glob";"P";"RHmin";"V2";"FAO56";"Tage_seit_Aussaat";"bewaesserung_mm";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_mm";"T2040_mm";"T4060_mm";"freier_Speicher_T0020_mm";"freier_Speicher_T2040_mm";"freier_Speicher_T4060_mm";"T0060_mm";"wasserinput_mm";"freier_Speicher_T0060_mm";"wasserinput_vortag";"wasserinput_vortag_cumsum";"T0060_mm_ohne_input";"freier_Speicher_T0060_mm_ohne_input";"wasser_diff";"T0060_mm_ohne_input_smooth";"kumulierter_Wasserverbrauch";"tempsum";"kumulierter_Wasserverbrauch_smooth";"taeglicher_wasserverbrauch";"kumulierter_Wasserverbrauch_sigmoid_tempsum";"kumulierter_Wasserverbrauch_sigmoid_tage";"tempsum_diff";"taeglicher_wasserverbrauch_sigmoid_tempsum";"taeglicher_wasserverbrauch_sigmoid";"taeglicher_wasserverbrauch_smooth"
2021-04-16;9.5;1.4;5.878125;62.1958333333333;11.72151;0;43.6;1.32916666666667;1.7;11;0;93.38;96.69;95.53;30.6908933333333;29.71606;30.37854;2.17577333333334;1.01727333333334;1.42146;90.7854933333333;0;4.61450666666668;0;0;90.7854933333333;4.61450666666668;0;NA;0;5.878125;0;NA;6.4068657878307;5.60801450551719;0;NA;NA;NA
2021-04-17;13.2;2.6;8.07604166666667;58.5229166666667;17.33868;0;36;1.31875;2.4;12;0;92.38;96.04;95.34;30.3622266666667;29.5162933333333;30.31812;2.50444;1.21704;1.48188;90.19664;0;5.20336;0;0;90.19664;5.20336;-0.588853333333304;NA;0.58885333333332;13.9541666666667;0.58885333333332;0.58885333333332;6.90094545359343;6.20219874031338;8.07604166666667;0.0611784443611792;0.594184234796184;NA
2021-04-18;12;7.5;8.60416666666667;73.0645833333333;4.33494;2.2;56.7;0.8125;1.1;13;0;91.57;95.79;95.24;30.0960066666667;29.43946;30.28632;2.77066;1.29387333333333;1.51368;89.8217866666667;2.2;5.57821333333333;0;0;89.8217866666667;5.57821333333333;-0.374853333333306;88.9359693333333;0.96370666666665;22.5583333333333;2.27460146666666;1.68574813333334;7.46668388770485;6.85608989719577;8.60416666666667;0.0657516824148871;0.653891156882396;NA
2021-04-19;14.7;5.8;10.0302083333333;75.8197916666667;9.71586;0.4;52.7;0.633333333333333;1.6;14;0.6925;91.29;95.49;95.1;30.00398;29.34726;30.2418;2.86268666666667;1.38607333333334;1.5582;89.59304;1.0925;5.80696000000001;2.2;2.2;87.39304;8.00696000000001;-2.4287466666667;87.190106;3.39245333333333;32.5885416666666;3.67191066666665;1.3973092;8.18092482188897;7.57497220138837;10.0302083333333;0.0712089829490865;0.718882304192594;1.43174269333333
2021-04-20;18.5;1.5;10.640625;67.3989583333333;24.09192;0;36.7;0.823958333333333;3;15;4.86625;91.79;95.59;95.06;30.1683133333333;29.3779933333333;30.22908;2.69835333333333;1.35534;1.57092;89.7753866666667;4.86625;5.62461333333333;1.0925;3.2925;86.4828866666667;8.91711333333333;-0.910153333333298;85.4462506666667;4.30260666666665;43.2291666666666;5.35819866666665;1.686288;9.00773098007271;8.3644414129469;10.640625;0.0777027813858435;0.789469211558539;1.64328386666667
2021-04-21;20;3.9;12.0645833333333;63.7947916666667;21.7989;0.8;37;1.23333333333333;3.1;16;0;92.95;95.79;95.05;30.5495666666667;29.43946;30.2259;2.3171;1.29387333333333;1.5741;90.2149266666667;0.8;5.18507333333333;4.86625;8.15875;82.0561766666667;13.3438233333333;-4.42671;83.7989473333333;8.72931666666665;55.2937499999999;7.15871346666665;1.8005148;10.0379976298326;9.23038793537666;12.0645833333333;0.0853959578457507;0.865946522429756;1.64454413333333
2021-04-22;15.5;4;10.05;53.6208333333333;24.64182;0;28.1;1.975;3.4;17;0;93.86;95.64;94.95;30.8486533333333;29.39336;30.1941;2.01801333333333;1.33997333333333;1.6059;90.4361133333333;0;4.96388666666666;0.8;8.95875;81.4773633333333;13.9226366666667;-0.5788133333334;81.7652;9.30812999999998;65.3437499999999;8.80527266666665;1.6465592;10.9771790289447;10.1789700447462;10.05;0.0934508854837899;0.948582109369537;1.71639429333333
2021-04-23;17.6;1.5;10.3145833333333;53.16875;25.53336;0;29.6;1.165625;3.3;18;4.455;94.03;95.83;94.93;30.9045266666667;29.4517533333333;30.18774;1.96214;1.28158;1.61226;90.54402;4.455;4.85598;0;8.95875;81.58527;13.81473;0.107906666666707;79.9333953333333;9.20022333333332;75.6583333333332;10.4973221333333;1.69204946666667;12.0229772761009;11.2165754401668;10.3145833333333;0.101390256238131;1.03760539542063;1.73334648
2021-04-24;18.4;3.2;11.303125;54.16875;24.97797;0;32.9;1.225;3.4;19;0;94.28;95.91;94.89;30.9866933333333;29.47634;30.17502;1.87997333333333;1.25699333333333;1.62498;90.6380533333333;0;4.76194666666666;4.455;13.41375;77.2243033333333;18.1756966666667;-4.36096666666671;78.95731;13.56119;86.9614583333332;12.2538821333333;1.75656;13.2704187480725;12.349769246804;11.303125;0.110362530005778;1.13319380663713;1.76218810666667
2021-04-25;16.6;4.8;10.6677083333333;48.3;26.08101;0;27.2;1.56770833333333;3.6;20;0;94.66;95.9;94.82;31.1115866666667;29.4732666666667;30.15276;1.75508;1.26006666666666;1.64724;90.7376133333333;0;4.66238666666666;0;13.41375;77.3238633333333;18.0761366666667;0.0995599999999968;76.9860033333333;13.46163;97.6291666666665;14.0249310666667;1.77104893333334;14.5509764507604;13.5852266096175;10.6677083333333;0.120040561915874;1.23545736281359;1.89282672
2021-04-26;16.1;1.9;9.76354166666667;43.15625;26.59887;0;27.7;1.75;3.7;21;5.415;94.23;95.94;94.76;30.97026;29.48556;30.13368;1.89640666666667;1.24777333333333;1.66632;90.5895;5.415;4.8105;0;13.41375;77.17575;18.22425;-0.148113333333299;75.0161473333333;13.6097433333333;107.392708333333;15.969654;1.94472293333333;15.8157318571284;14.9296481290241;9.76354166666667;0.129538588510958;1.34442151940658;2.00580957333333
