m,s,parameter
56.0401665541794,37.495928313748,nFK_0010
53.8282359131275,39.0637073206661,nFK_1020
68.1633330253637,31.747733927875,nFK_2030
82.8073367773739,20.2461330563723,nFK_3040
90.7895022009393,12.2967923993668,nFK_4050
94.4897892391218,9.27938491519372,nFK_5060
56.108748792263,37.4518075174964,nFK_0010_Vortag
53.9766846072056,39.0281798471499,nFK_1020_Vortag
68.2622930796081,31.7141917235192,nFK_2030_Vortag
82.871402822777,20.2234116056891,nFK_3040_Vortag
90.8370615934142,12.2956718691405,nFK_4050_Vortag
94.5298868916098,9.29566334853516,nFK_5060_Vortag
25.44688384271,14.4095666077246,tage_seit_aussaat
13.3052282290223,5.10574105616276,Tmean_gradC
11.4775595020909,7.58266918914537,Tmean_th9_25_gradC
8.56201355797372,4.64039887967315,Tmin_gradC
18.0786985723257,6.3536594773873,Tmax_gradC
73.3273888921093,13.5750589517616,relLuftfeuchte_mean_prozent
60.7696052716058,17.4497819775415,relLuftfeuchte_min_prozent
86.7998092675907,10.7076330044509,relLuftfeuchte_max_prozent
3716.38894049561,2240.45422437417,globalstrahlung_Wh_m2
3.60821276842297,1.96165976481374,windgeschwindigkeit_m_s
13.2839891417191,2.64889378509681,tageslicht_h
10.4780682784439,6.45923513260349,tageslicht_h_th9
338.058513038861,225.993038193129,Tmean_gradC_sum
291.314671988812,241.234787999298,Tmean_th9_25_gradC_sum
93943.2340111297,71666.6581963384,globalstrahlung_Wh_m2_sum
2.05897687252091,4.8111493673194,niederschlag_mm_sum
337.826662198503,204.418896443725,tageslicht_h_sum
266.057967916871,211.229129641613,tageslicht_h_th9_sum
28.2995219162187,12.290463916689,Ton_prozent
35.1565947531362,0.231895545597611,Schluff_prozent
36.5438833306451,12.522359462282,Sand_prozent
1.5747241975001,0.185516436478747,C_org_prozent
1.816578611547,1.57167547873019,ibi
15.9002206532905,4.61033556439017,irmi
1.65734969644041,3.32157169698334,wasser_input_Vortag
