T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
58.5;73.1675;90.4325;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;1.2;2.7;65.135;77.2575;90.9275;47;12.23;3.9233604084271;20.5185520334932
55.9825;69.7525;89.915;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;0;1.2;58.5;73.1675;90.4325;48;12.2;3.97178546621606;20.924335504551
54.085;66.0525;89.385;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;1.5;0;55.9825;69.7525;89.915;49;11.86;4.01391035664125;21.2954485522645
53.2175;62.78;88.6575;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;2.2;1.5;54.085;66.0525;89.385;50;10.32;4.04719257407527;21.609793626719
52.825;61.7375;87.9775;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;5.3;2.2;53.2175;62.78;88.6575;51;10.68;4.0744143101856;21.8840154384486
89.3975;77.1925;82.3225;25.98;15.8;33.7;61.75;41.2;88.5;7664.95;0.94;0;0;83.675;77.065;83.15;4;25;0.181364392995258;10.6700058264291
103.59;77.8775;82.08;27.32;18.1;34.2;60.77;40.7;91.2;6581.27;0.78;0;10.995;89.3975;77.1925;82.3225;5;25;0.18041584702345;10.6608237866231
98.0925;78.54;81.75;26.93;18.4;33;58.75;40.4;87.5;7668.85;0.99;0;0;103.59;77.8775;82.08;6;25;0.178518755079835;10.642459707011
93.3225;79.855;82.06;25.29;19.5;29.2;62.1;45.5;90.4;6055.88;1.39;2.8;10.9925;98.0925;78.54;81.75;7;25;0.176226435647967;10.6202697774797
104.7125;80.24;81.715;21.07;17.2;26.5;71.88;51;92.8;5861;2.11;0.1;2.8;93.3225;79.855;82.06;8;21.07;0.1740922072114;10.5996101879161
100.2025;81.185;81.4325;16.67;13.8;18.8;83.7;71.7;90.6;2196;1.23;4.1;0.1;104.7125;80.24;81.715;9;16.67;0.169248259428851;10.560643514577
119.87;97.87;81.555;20.05;15.2;25.8;73.68;54.1;90.7;6233.75;1.54;0.2;15.0725;100.2025;81.185;81.4325;10;20.05;0.165063702409563;10.5390879519864
106.085;99.7875;81.5775;17.58;16;19.1;87.44;80;93.2;1631.1;0.83;16.1;0.2;119.87;97.87;81.555;11;17.58;0.163757688563086;10.5543493954698
120.2525;132.5875;88.8325;18.54;13.5;23.5;74.13;51.8;90.8;4385.75;0.97;0.8;16.1;106.085;99.7875;81.5775;12;18.54;0.167692855810877;10.6217484236216
108.83;117.125;100.0725;19.89;12.4;26.6;66.99;42.4;94;7765.15;0.73;0;0.8;120.2525;132.5875;88.8325;13;19.89;0.179406987337392;10.7524813650105
103.42;111.555;101.22;21.91;14.9;27.7;68.77;47.8;92.4;5073.55;1;0;0;108.83;117.125;100.0725;14;21.91;0.201611204570876;10.9534893750228
100.395;107.95;101.435;23.21;16.3;29.8;68.74;41.8;92.6;6556.92;0.89;0;0;103.42;111.555;101.22;15;23.21;0.237167837589437;11.2273788850899
98.245;106.7625;101.285;19.47;14;26.4;80.89;53.8;95.3;4230.18;0.9;9.6;0;100.395;107.95;101.435;16;19.47;0.289020531656207;11.5723530785137
