m,s
18.3110429835651,4.50203649042143
12.0247155499368,4.12372408511639
24.3521491782554,5.56112419142767
65.8856510745892,11.3861636374091
44.6032869785084,12.524330348127
5266.05976611885,1721.92173009642
1.26237673830594,0.456545940447821
42.6058786346399,28.8888687838993
3.54098609355246,6.69590570671387
80.038526127265,21.9269648073505
85.6411504424779,16.7512136032861
32.3173198482933,9.01164842634229
18.0011441213654,5.30410418520907
2.86216931066036,1.17452179843611
18.6979910802996,3.07300212607881
