m,s
13.3052282290223,5.10574105616276
8.56201355797372,4.64039887967315
18.0786985723257,6.3536594773873
73.3273888921093,13.5750589517616
60.7696052716058,17.4497819775415
3716.38894049561,2240.45422437417
3.60821276842297,1.96165976481374
2.05897687252091,4.8111493673194
1.65734969644041,3.32157169698334
56.108748792263,37.4518075174964
68.2622930796081,31.7141917235192
25.44688384271,14.4095666077246
11.4775595020909,7.58266918914537
1.816578611547,1.57167547873019
15.9002206532905,4.61033556439017
