"wasser_level";"zeit_messung";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"T0020_nFK";"T2040_nFK";"T4060_nFK"
"Wfull_plus";2021-04-16;90.93;75.21;85.73;1.96;1.88;1.93;93.39;96.82;94.45
"Wfull_plus";2021-04-17;95.82;78.29;86.71;1.98;1.89;1.94;92.44;96.1;94.25
"Wfull_plus";2021-04-18;100.26;79.6;87.13;2;1.9;1.94;91.62;95.79;94.16
"Wfull_plus";2021-04-19;101.28;81.05;87.8;2.01;1.91;1.94;91.44;95.47;94.02
"Wfull_plus";2021-04-20;98.22;80.32;88.17;1.99;1.9;1.95;91.99;95.63;93.94
"Wfull_plus";2021-04-21;91.36;79.54;88.12;1.96;1.9;1.95;93.3;95.81;93.96
"Wfull_plus";2021-04-22;87;80.63;88.65;1.94;1.91;1.95;94.19;95.56;93.85
"Wfull_plus";2021-04-23;86.07;76.6;88.93;1.93;1.88;1.95;94.38;96.49;93.79
"Wfull_plus";2021-04-24;84.59;78.64;89.28;1.93;1.9;1.95;94.69;96.01;93.72
"Wfull_plus";2021-04-25;82.79;78.97;89.64;1.92;1.9;1.95;95.09;95.94;93.65
"Wfull_plus";2021-04-26;85.06;78.92;89.32;1.93;1.9;1.95;94.59;95.95;93.71
"Wfull_plus";2021-04-27;82.19;79.61;90.38;1.91;1.9;1.96;95.22;95.79;93.5
"Wfull_plus";2021-04-28;19.77;73.89;91.13;1.3;1.87;1.96;121;97.14;93.35
"Wfull_plus";2021-04-29;15.11;40.31;91.54;1.18;1.61;1.96;125.87;108.11;93.27
"Wfull_plus";2021-04-30;27.04;26.6;89.56;1.43;1.42;1.95;115.34;115.63;93.66
"Wfull_plus";2021-05-01;34.75;30.29;84.93;1.54;1.48;1.93;110.8;113.28;94.62
"Wfull_plus";2021-05-02;41.53;34.17;81.32;1.62;1.53;1.91;107.57;111.1;95.41
"Wfull_plus";2021-05-03;47.01;37.05;78.45;1.67;1.57;1.89;105.33;109.63;96.06
"Wfull_plus";2021-05-04;52.45;39.73;76.36;1.72;1.6;1.88;103.34;108.37;96.55
"Wfull_plus";2021-05-05;49.24;43.47;75.58;1.69;1.64;1.88;104.49;106.74;96.73
"Wfull_plus";2021-05-06;48.91;45.16;74.94;1.69;1.65;1.87;104.61;106.05;96.89
"Wfull_plus";2021-05-07;41.55;46.78;74.86;1.62;1.67;1.87;107.56;105.41;96.91
"Wfull_plus";2021-05-08;50.62;46.91;74.56;1.7;1.67;1.87;103.99;105.36;96.98
"Wfull_plus";2021-05-09;62.56;47.71;74.09;1.8;1.68;1.87;100.15;105.06;97.09
"Wfull_plus";2021-05-10;86.64;51.67;73.92;1.94;1.71;1.87;94.26;103.61;97.14
"Wfull_plus";2021-05-11;68.32;56.2;74.03;1.83;1.75;1.87;98.56;102.09;97.11
"Wfull_plus";2021-05-12;42.18;58.03;74.75;1.63;1.76;1.87;107.29;101.51;96.93
"Wfull_plus";2021-05-13;63.68;60.01;75.12;1.8;1.78;1.88;99.83;100.91;96.84
"Wfull_plus";2021-05-14;102.22;66.08;76.01;2.01;1.82;1.88;91.27;99.16;96.63
"Wfull_plus";2021-05-15;160.17;75.65;76.91;2.2;1.88;1.89;83.14;96.72;96.42
"Wfull_plus";2021-05-16;20.76;81.81;78.32;1.32;1.91;1.89;120.12;95.3;96.09
"Wfull_plus";2021-05-17;15.06;53.14;79.89;1.18;1.73;1.9;125.93;103.11;95.73
"Wfull_plus";2021-05-18;20.81;27.06;79.83;1.32;1.43;1.9;120.08;115.32;95.74
"Wfull_plus";2021-05-19;33.31;32.76;77.15;1.52;1.52;1.89;111.56;111.86;96.36
"Wfull_plus";2021-05-20;49.38;42.47;74.46;1.69;1.63;1.87;104.44;107.16;97
"Wfull_plus";2021-05-21;93.93;53.87;72.62;1.97;1.73;1.86;92.8;102.86;97.46
"Wfull_plus";2021-05-22;174.67;71.84;72.83;2.24;1.86;1.86;81.57;97.65;97.4
"Wfull_plus";2021-05-23;310.62;98.08;73.91;2.49;1.99;1.87;71.16;92.02;97.14
"Wfull_plus";2021-05-24;452.47;128.36;75.63;2.66;2.11;1.88;64.35;87.15;96.72
"Wfull_plus";2021-05-25;525.61;146.55;77.99;2.72;2.17;1.89;61.64;84.75;96.16
"Wfull_plus";2021-05-26;24.53;105.42;79.57;1.39;2.02;1.9;117.09;90.71;95.8
"Wfull";2021-04-16;90.96;75.77;80.78;1.96;1.88;1.91;93.38;96.69;95.53
"Wfull";2021-04-17;96.11;78.55;81.65;1.98;1.9;1.91;92.38;96.04;95.34
"Wfull";2021-04-18;100.56;79.62;82.09;2;1.9;1.91;91.57;95.79;95.24
"Wfull";2021-04-19;102.1;80.98;82.71;2.01;1.91;1.92;91.29;95.49;95.1
"Wfull";2021-04-20;99.35;80.49;82.9;2;1.91;1.92;91.79;95.59;95.06
"Wfull";2021-04-21;93.14;79.64;82.96;1.97;1.9;1.92;92.95;95.79;95.05
"Wfull";2021-04-22;88.58;80.27;83.39;1.95;1.9;1.92;93.86;95.64;94.95
"Wfull";2021-04-23;87.74;79.47;83.52;1.94;1.9;1.92;94.03;95.83;94.93
"Wfull";2021-04-24;86.53;79.1;83.71;1.94;1.9;1.92;94.28;95.91;94.89
