"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
104.78;104.52;104.38;104.12;95.18;86.1;100.24;103;104.38;107.14;95.49;85.23;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.08678449154128;13.6452635659476;5.66
104.66;104.3;104.13;103.77;95.28;86.62;104.78;104.52;104.38;104.12;95.18;86.1;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.21783671033353;14.1889129615955;1.6
109.93;106.71;105.11;101.89;95.25;86.99;104.66;104.3;104.13;103.77;95.28;86.62;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.34798012724635;14.9411071771403;3.7
103.47;103.65;103.74;103.92;95.53;87.23;109.93;106.71;105.11;101.89;95.25;86.99;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.48113466029004;15.4071060437721;0
99.48;101.72;102.84;105.08;95.75;87.53;103.47;103.65;103.74;103.92;95.53;87.23;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.6130744176462;15.8411833423488;0
94.07;98.31;100.42;104.66;95.34;88.14;99.48;101.72;102.84;105.08;95.75;87.53;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.74349214976488;16.2365711963236;0
103.76;102.46;101.82;100.52;94.88;88.6;94.07;98.31;100.42;104.66;95.34;88.14;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.8706498604755;16.5925511990521;7.2
113.62;107.28;104.11;97.77;94.77;88.61;103.76;102.46;101.82;100.52;94.88;88.6;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.99335154067962;16.9059643611734;4
102.75;101.77;101.29;100.31;94.73;88.65;113.62;107.28;104.11;97.77;94.77;88.61;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;3.11115325457712;17.1634319879713;0
93.1;96.26;97.85;101.01;94.2;88.98;102.75;101.77;101.29;100.31;94.73;88.65;39;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.2230465180051;17.3901078586996;0
81.53;89.29;93.16;100.92;93.34;89.64;93.1;96.26;97.85;101.01;94.2;88.98;40;11.9;11.9;9.2;14.9;75.43;56.3;90.8;3189.2;1.54;15.28;15.28;375.74;268.1;181526.42;42.9;569.62;334.15;20;30;50;1.2;3.32853129325617;17.6099471198089;0.3
130.2;112.86;104.19;86.85;92.62;89.72;81.53;89.29;93.16;100.92;93.34;89.64;41;11.68;11.68;6.9;18.6;80.23;47.3;95.7;4802.18;1.35;15.33;15.33;387.43;279.79;186328.6;49.5;584.95;349.48;20;30;50;1.2;3.42761598907845;17.8457062849467;15.81
133.08;117.52;109.75;94.19;94.58;87.18;130.2;112.86;104.19;86.85;92.62;89.72;42;11.93;11.93;8.8;16.4;80.68;62.9;95.5;3797.85;1.57;15.37;15.37;399.36;291.72;190126.45;54.2;600.32;364.85;20;30;50;1.2;3.52430437718409;18.1435681400812;6.6
122.29;115.81;112.56;106.08;97.09;84.87;133.08;117.52;109.75;94.19;94.58;87.18;43;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.61787830097796;18.5115794806922;4.7
110.93;109.53;108.83;107.43;97.14;86.16;122.29;115.81;112.56;106.08;97.09;84.87;44;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.70644419747654;18.9446969554442;0.8
101.15;103.15;104.15;106.15;96.62;88.1;110.93;109.53;108.83;107.43;97.14;86.16;45;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.78664518641904;19.4054139618948;1.5
82.54;92.34;97.25;107.05;96.05;89.95;101.15;103.15;104.15;106.15;96.62;88.1;46;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.85717261602714;19.8722721046758;0
67.16;81.98;89.4;104.22;94.45;92.09;82.54;92.34;97.25;107.05;96.05;89.95;47;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.91774229249487;20.3257179652224;2.7
54.84;72.64;81.55;99.35;92.36;94.28;67.16;81.98;89.4;104.22;94.45;92.09;48;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.96899378124991;20.746711964369;1.2
49.5;67.18;76.02;93.7;90.41;95.95;54.84;72.64;81.55;99.35;92.36;94.28;49;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;4.01063658999259;21.1208151380028;0
47.29;65.21;74.17;92.09;89.56;95.98;49.5;67.18;76.02;93.7;90.41;95.95;50;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;4.0413323761393;21.426894829949;1.5
107.06;94.42;88.09;75.45;88.85;95.93;47.29;65.21;74.17;92.09;89.56;95.98;51;10.68;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;15.74;15.74;507.11;399.47;229938.65;69.4;740.55;505.08;20;30;50;1.2;4.06458063236925;21.6851682391524;25.51
90.94;93.54;94.85;97.45;96.42;96.68;91.98;94.32;95.5;97.84;96.69;96.71;12;8.08;0;2.6;13.2;58.52;36;86.4;4816.3;1.32;13.77;0;70.23;9.67;44688.12;10;161.27;13.35;20;30;50;1.2;0.170194558812077;10.6222391782658;0
89.89;92.91;94.42;97.44;96.29;96.65;90.94;93.54;94.85;97.45;96.42;96.68;13;8.6;0;7.5;12;73.06;56.7;89.8;1204.15;0.81;13.83;0;78.84;9.67;45892.28;12.2;175.1;13.35;20;30;50;1.2;0.180321360666926;10.7345398261166;0
89.48;92.56;94.11;97.19;96.08;96.5;89.89;92.91;94.42;97.44;96.29;96.65;14;10.03;10.03;5.8;14.7;75.82;52.7;94.7;2698.85;0.63;13.89;13.89;88.87;19.7;48591.12;12.6;188.99;27.24;20;30;50;1.2;0.198911459855142;10.9077217914262;2.2
90.13;92.91;94.29;97.07;95.99;96.29;89.48;92.56;94.11;97.19;96.08;96.5;15;10.64;10.64;1.5;18.5;67.4;36.7;94.9;6692.2;0.82;13.95;13.95;99.51;30.34;55283.32;12.6;202.94;41.19;20;30;50;1.2;0.228024388921785;11.1443209172555;1.07
