"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
110.23;108.13;91.65;119.05;109.32;90.98;44;35.85;40.25;100.08;1.55;1.6;2;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.5201282051282;18.0758974358974;0.8
102.15;105.15;92.36;110.23;108.13;91.65;45;56.04;47.48;96.22;1.75;1.68;1.98;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.59820512820513;18.3074358974359;1.5
87.44;102.15;93;102.15;105.15;92.36;46;126.33;56.02;92.91;2.1;1.75;1.97;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.67628205128205;18.5389743589744;0
74.57;96.81;93.27;87.44;102.15;93;47;257.26;75.28;91.51;2.41;1.88;1.96;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.74538461538462;19.0653846153846;2.7
63.74;90.45;93.32;74.57;96.81;93.27;48;468.02;106.94;91.29;2.67;2.03;1.96;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.81403846153846;19.6065384615385;1.2
58.34;84.86;93.18;63.74;90.45;93.32;49;630.61;145.67;91.96;2.8;2.16;1.96;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;3.88269230769231;20.1476923076923;0
56.25;83.13;92.77;58.34;84.86;93.18;50;707.76;160.3;94.07;2.85;2.2;1.97;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;3.95134615384615;20.6888461538462;1.5
100.74;81.77;92.39;56.25;83.13;92.77;51;60.56;172.75;96.08;1.78;2.24;1.98;10.68;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;15.74;15.74;507.11;399.47;229938.65;69.4;740.55;505.08;20;30;50;1.2;4.02;21.23;25.51
115.23;116.68;96.3;100.74;81.77;92.39;25;27.19;25.1;77.4;1.43;1.4;1.89;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.43;11.32;5.3
110.74;112.71;97.94;115.23;116.68;96.3;26;34.86;31.25;70.71;1.54;1.49;1.85;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.55034615384615;11.7650384615385;0
107.43;110.15;99.11;110.74;112.71;97.94;27;41.85;36.01;66.27;1.62;1.56;1.82;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.67069230769231;12.2100769230769;0
105.41;108.99;99.88;107.43;110.15;99.11;28;46.78;38.4;63.53;1.67;1.58;1.8;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.79103846153846;12.6551153846154;0
