"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
121.6725;118.7225;117.2475;114.2975;102.585;89.395;133.7825;118.4625;110.81;95.49;98.38;93.6;43;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.5023717948718;18.1111538461538;4.7
111.5125;111.7675;111.8975;112.1525;101.755;91.485;121.6725;118.7225;117.2475;114.2975;102.585;89.395;44;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.56967948717949;18.3191346153846;0.8
103.6525;105.4325;106.325;108.105;100.58;93.95;111.5125;111.7675;111.8975;112.1525;101.755;91.485;45;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.63698717948718;18.5271153846154;1.5
89.89;96.385;99.63;106.125;99.43;95.985;103.6525;105.4325;106.325;108.105;100.58;93.95;46;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.70429487179487;18.7350961538462;0
76.9725;87.3275;92.5075;102.8625;97.645;97.61;89.89;96.385;99.63;106.125;99.43;95.985;47;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.76375;19.2041346153846;2.7
65.085;78.585;85.34;98.84;95.585;99.075;76.9725;87.3275;92.5075;102.8625;97.645;97.61;48;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.8228125;19.6862259615385;1.2
57.3275;72.2975;79.7875;94.7575;93.685;100.09;65.085;78.585;85.34;98.84;95.585;99.075;49;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;3.881875;20.1683173076923;0
54.3825;69.6275;77.2525;92.4975;92.5025;100.1275;57.3275;72.2975;79.7875;94.7575;93.685;100.09;50;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;3.9409375;20.6504086538462;1.5
131.9775;112.5625;102.855;83.44;95.015;96.88;54.3825;69.6275;77.2525;92.4975;92.5025;100.1275;51;10.68;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;15.74;15.74;507.11;399.47;229938.65;69.4;740.55;505.08;20;30;50;1.2;4;21.1325;24.9625
73.1275;83.4075;88.5475;98.8275;94.935;96.18;92.5375;81.2425;75.5975;64.3025;75.33;80.715;21;17.97;17.97;12;22.9;71.77;54.5;87.7;3201.52;1.9;14.32;14.32;399.35;399.35;103013.75;21.4;311.82;311.82;20;30;50;1.2;3.53;18.955;0.025
65.8975;78.9675;85.5025;98.5725;94.3075;96.5775;73.1275;83.4075;88.5475;98.8275;94.935;96.18;22;14.76;14.76;10.5;20.2;76.26;48.6;93.5;3415.02;1.15;14.26;14.26;414.12;414.12;106428.77;24.5;326.08;326.08;20;30;50;1.2;3.58243303571429;19.1602678571429;2.1
