m,s
56.1403985000906,37.446198039033
53.9885539111011,39.029110831298
68.2590854308886,31.7181272253185
82.8573744429563,20.2382728032922
90.8310678916971,12.2985125543771
94.5281836740626,9.29331058621624
25.4351324942367,14.4052894769376
13.2951299899155,5.10295335443355
11.4642076618809,7.58191947793532
8.55588660791966,4.63962453833127
18.0659571090298,6.34857494184679
73.3465926699407,13.5678286354799
60.791801478891,17.4478683701741
86.8100874947175,10.70219139905
3714.55206729469,2239.59109977762
3.60971162295661,1.96162512386519
13.2820602065613,2.64788581914628
10.4693149787463,6.46155997005616
337.859217578551,225.951013262038
291.095878379427,241.219331536069
93869.7215961902,71606.5882888722
2.0615696279512,4.81435893957399
337.611531750096,204.292701155561
265.805649189341,211.118971444728
28.322464878015,12.2996843817017
35.1570276392078,0.232069516635942
36.5205074827772,12.5317538983202
1.57437788865371,0.185655613308378
1.81491350450344,1.57147673988784
15.8946015611262,4.60887289794919
1.6634979551766,3.32761804808056
