m,s
78.2067112696997,25.3264815871906
82.0314837942313,19.1068625665405
83.9442239072257,17.3146361182114
87.7689964317574,17.750249179488
88.3962473981564,13.4328192398619
90.9366220636337,14.5764087059158
32.4549509366637,8.97983728686013
18.3866904549509,4.42754618246341
18.1592417484389,5.02277175680618
12.1031222123104,4.06661045592387
24.4078501338091,5.51708635892223
65.7098751115076,11.3781653438299
44.6023193577163,12.7314127109201
87.4865298840321,7.92531356980192
5286.51483496878,1736.60537778515
1.26975914362177,0.457803992455109
15.0365834076717,0.920540997016827
14.6426226583408,2.59713102174174
569.194264049956,189.328047280795
544.695816235504,213.336589760419
175919.388902765,46047.3942801346
42.8963425512935,28.7885024018218
487.758617305977,130.532975090714
439.886913470116,136.946405655906
20,1
30,1
50,1
1.2,1
2.86220458685692,1.16186214949927
18.724937682096,3.04347700284008
3.26101694915254,6.22650515657789
