m,s
94.9373636363637,18.0304014567467
92.4626666666667,11.4330236764297
91.2265151515152,9.54859282973457
88.7518181818182,11.2857710351254
89.3666363636364,7.62338369491987
88.8930303030303,7.82007679892212
33.2909090909091,8.73196072180459
17.4489090909091,4.91800421457175
17.0527272727273,5.9306421657622
11.2436363636364,4.31409248155321
23.58,6.14914628220861
66.9321818181818,12.236210332438
45.2127272727273,13.4272257213615
87.8272727272727,8.73580233431609
4690.86145454545,1524.0020787356
1.20272727272727,0.460838424908399
14.2278181818182,0.786705956902744
13.4250909090909,3.34580105711692
558.704181818182,212.676460752276
524.984909090909,244.570702932428
166595.667636364,40534.2542176953
27.1072727272727,18.7006818507642
481.045818181818,122.168533693342
411.228181818182,127.761936458963
20,1
30,1
50,1
1.2,1
3.0526655309744,1.10295101435755
18.5290276600416,3.01542740370007
3.64272727272727,6.30206997285503
