parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.139199687103393,0.0172138134688601,-0.0197649228521001
B2040_nFK_prozent_Vortag,0.00670078720923309,0.122692665867954,0.0435465106657872
B4060_nFK_prozent_Vortag,-0.0269923755873408,0.0317764050136554,0.163218439942547
Tmean_gradC,-0.00597221943761038,-0.00538142448898595,-0.00274439747962977
relLuftfeuchte_mean_prozent,0.0062952444158629,-0.000956308860889092,-0.00111976168847468
globalstrahlung_Wh_m2,0.00262947970529263,0.000843436075608562,0.000151302887875096
windgeschwindigkeit_m_s,0.00318772386812693,-0.00404825905429988,-0.00170193800338136
wasser_input_Vortag,0.017697210354342,0.000103717645827272,-0.00105742453001786
tage_seit_aussaat,0.00739290152694149,-0.00157845732577956,-0.00764485592933985
Tmean_gradC_sum,0.0161471572045864,0.00372031272224206,-0.000820107484761609
Tmean_th9_25_gradC_sum,-0.00337211318135851,0.000222923480886361,-0.00198588030965962
globalstrahlung_Wh_m2_sum,-0.0126246065286295,0.0155369681289033,-0.000373766085337658
niederschlag_mm_sum,0.00722693594250919,-0.0134352210276231,0.00656319122388934
tageslicht_h_th9_sum,-0.0030900559241819,-0.0142162570908462,-3.20417151048141e-05
Ton_prozent,-0.00379060308204548,0.00342688966443922,0.00198787306134049
Sand_prozent,0.00502980570286646,0.00357940411331637,0.0104014473967212
ibi,-0.00557485632925696,0.000967610703437264,0.00656976014840696
irmi,-0.0227416148015369,-0.00587219141401908,0.00504509969659087
