parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.135873686689398,0.0349267028331305,0.0161316119761097
B2040_nFK_prozent_Vortag,0.0284141724717863,0.103119018840884,0.040148831986703
B4060_nFK_prozent_Vortag,0.03438222902028,0.0537338751716021,0.153119753031746
tage_seit_aussaat,0.00900789410526396,0.00227208246486158,0.0118099162594296
Tmean_gradC,0.000194845783892165,0.00311754721284245,0.00296519352913893
Tmean_th9_25_gradC,0.0016396955063371,0.00116614345786119,0.00176011651689691
Tmin_gradC,0.00225198577269363,0.00412883292535685,0.00139468928303837
Tmax_gradC,0.00548575100147187,0.00133451942230249,0.00313080656114068
relLuftfeuchte_mean_prozent,0.00958916151620718,0.000294357849186947,0.00381024154267594
globalstrahlung_Wh_m2,0.00505822589533167,0.00132575854217161,0.000476107631705833
windgeschwindigkeit_m_s,0.00368027592020886,0.00265812013605802,0.00172431196693792
tageslicht_h,0.00532080246021624,0.00223140532773313,0.00382857796951121
tageslicht_h_th9,0.00263145662884692,0.000771552795756024,0.000760356790651657
Tmean_gradC_sum,0.00812416218385196,0.00658357562029206,0.00520844431954081
Tmean_th9_25_gradC_sum,0.0039832901099582,0.00255915306575251,0.00244355571449224
globalstrahlung_Wh_m2_sum,0.0063048310515958,0.0120800284183668,0.00200076470043165
niederschlag_mm_sum,0.00095018756389057,0.0149594501251435,0.00575555066680127
tageslicht_h_sum,0.00993492085747824,0.00660708556166603,0.00469002930729879
tageslicht_h_th9_sum,0.00721918394326877,0.00435853266189324,0.00295275152423708
Ton_prozent,0.00231872481723182,0.0023363760015106,0.00387479898032407
Schluff_prozent,0.0140026102733077,0.00305489893261335,0.000709910629878267
Sand_prozent,0.00163066258186606,0.00121280067881593,0.00496427151838385
C_org_prozent,0.0141112335979139,0.0248366291654592,0.0192995092627692
ibi,0.00782459414256974,0.00695536110125579,0.00993620220797758
irmi,0.032238768270138,0.00681250306790432,0.00212057177478703
wasser_input_Vortag,0.0225822846240738,0.00177407041596489,0.00117828076920488
