"tensio_id";"parzelle_id";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"messgenauigkeit_id";"zeit_messung"
1990;33;78.6392287727104;45.7683741648107;103.39755464987;10;1618563600
1991;34;83.9146567717996;66.839762611276;74.3413729128015;10;1618563600
1992;35;88.9770200148258;70.5489614243323;79.3699036323202;10;1618563600
1993;36;69.3696700037078;47.9955456570156;72.0096403411198;10;1618563600
1994;37;86.4688427299703;71.9873934000742;72.1677802524127;10;1618563600
1995;38;74.8148148148148;40;97.5936225435669;10;1618563600
1996;39;73.461109043543;51.0025993316004;74.2878338278931;10;1618563600
1997;40;88.060695780903;56.3356798814376;84.1311596887736;10;1618563600
1998;41;68.7746008169328;46.1752692164872;54.30426716141;10;1618563600
1999;42;89.1536748329621;68.3234421364985;61.7254174397032;10;1618563600
2000;43;89.9405867062755;61.6054875787912;86.2152133580705;10;1618563600
2001;44;86.4688427299703;78.6137879911045;96.5433012583272;10;1618563600
2002;45;87.0133729569094;55.9085841694537;74.4485703676197;10;1618563600
2003;46;72.0029673590504;56.9439287040475;67.6623376623377;10;1618563600
2004;47;86.4510166358595;75.3244345569151;97.2228401928068;10;1618563600
2005;48;89.375232428412;70.4908888062477;71.635687732342;10;1618563600
2006;33;95.6952169076752;78.0623608017818;111.17821415339;10;1618567200
2007;34;90.5936920222635;75.3709198813056;75.4545454545454;10;1618567200
2008;35;97.1312083024463;83.5311572700297;80.1111934766494;10;1618567200
2009;36;74.9314052651094;54.3058648849295;73.8635520949203;10;1618567200
2010;37;90.1780415430267;75.3244345569151;73.2813659985152;10;1618567200
2011;38;66.2962962962963;71.4814814814815;103.155357804968;10;1618567200
2012;39;78.2992184592482;67.7125881916079;75.4005934718101;10;1618567200
2013;40;95.4626202812731;77.8251204149685;85.6131900703965;10;1618567200
2014;41;76.5725956182696;55.4585963609358;56.9016697588126;10;1618567200
2015;42;92.1232368225687;74.2581602373887;63.5807050092765;10;1618567200
2016;43;100.709246193836;84.5939933259177;88.4415584415584;10;1618567200
2017;44;99.4510385756677;85.6560415122313;97.6535899333827;10;1618567200
2018;45;92.5854383358098;72.6309921962096;75.9339027107315;10;1618567200
2019;46;79.7922848664688;64.3705904196064;69.8886827458256;10;1618567200
2020;47;98.6506469500924;91.2680756395996;100.559881349648;10;1618567200
2021;48;94.5816288583116;73.0940870211975;73.8661710037175;10;1618567200
2022;33;99.4030404152763;85.4862657757981;112.289736939607;10;1618570800
2023;34;92.8200371057514;77.5964391691395;75.8256029684601;10;1618570800
2024;35;100.096367679763;86.1275964391691;81.2231282431431;10;1618570800
2025;36;76.7853170189099;58.3890126206385;74.9758991472006;10;1618570800
2026;37;92.4035608308605;77.9199110122358;74.3949517446177;10;1618570800
2027;38;80.7407407407407;77.4074074074074;104.267704857249;10;1618570800
2028;39;80.160029772981;71.7972521351652;75.7715133531157;10;1618570800
2029;40;96.9430051813471;83.0122267506484;85.9836976658022;10;1618570800
2030;41;78.4292610471593;58.4292610471593;57.6437847866419;10;1618570800
2031;42;93.6080178173719;76.1127596439169;64.6938775510204;10;1618570800
2032;43;104.051243965837;89.7849462365592;89.1836734693878;10;1618570800
2033;44;102.789317507418;86.767976278725;97.2834937083642;10;1618570800
2034;45;95.55720653789;75.6038647342995;77.0479019680653;10;1618570800
2035;46;82.0178041543027;66.969922020052;70.6307977736549;10;1618570800
2036;47;101.977818853974;93.1219873934;100.930663700408;10;1618570800
2037;48;96.8129416139829;74.9535143175902;74.6096654275093;10;1618570800
2038;33;99.0322580645162;86.2286562731997;112.660244535013;10;1618574400
2039;34;92.0779220779221;76.8545994065282;75.8256029684601;10;1618574400
2040;35;98.9844329132691;85.7566765578635;80.1111934766494;10;1618574400
2041;36;75.6729699666296;59.1314031180401;74.2343344456804;10;1618574400
2042;37;90.919881305638;75.6952169076752;73.2813659985152;10;1618574400
2043;38;85.9259259259259;79.2592592592593;104.267704857249;10;1618574400
2044;39;79.0435429847414;70.3119197920535;75.4005934718101;10;1618574400
2045;40;96.9430051813471;83.0122267506484;85.9836976658022;10;1618574400
2046;41;76.5725956182696;58.0579279613814;56.530612244898;10;1618574400
2047;42;92.1232368225687;75.3709198813056;63.5807050092765;10;1618574400
2048;43;103.679910880059;89.7849462365592;89.1836734693878;10;1618574400
2049;44;102.418397626113;86.767976278725;97.6535899333827;10;1618574400
2050;45;93.6998514115899;72.6309921962096;75.9339027107315;10;1618574400
2051;46;80.9050445103857;65.8559227627182;69.8886827458256;10;1618574400
2052;47;101.977818853974;92.0096403411198;100.559881349648;10;1618574400
2053;48;94.5816288583116;73.8378579397546;73.8661710037175;10;1618574400
2054;33;99.4030404152763;87.3422420193022;113.030752130419;10;1618578000
2055;34;92.4489795918367;77.2255192878338;75.8256029684601;10;1618578000
2056;35;98.9844329132691;86.1275964391691;80.1111934766494;10;1618578000
2057;36;75.6729699666296;60.2449888641425;74.2343344456804;10;1618578000
2058;37;90.919881305638;75.6952169076752;73.652561247216;10;1618578000
2059;38;89.6296296296296;80.7407407407408;104.267704857249;10;1618578000
2060;39;79.0435429847414;71.7972521351652;75.7715133531157;10;1618578000
2061;40;97.6831976313842;84.4942571322712;85.6131900703965;10;1618578000
2062;41;77.3152617898255;59.1719272187152;56.530612244898;10;1618578000
2063;42;91.7520415738679;75.7418397626113;63.9517625231911;10;1618578000
2064;43;104.422577051615;90.8972932888395;89.1836734693878;10;1618578000
2065;44;102.789317507418;86.767976278725;97.6535899333827;10;1618578000
