parzelle_id;variante_id;parzelle_name;wiederholung
33;9;1a;a
34;9;1b;b
35;9;1c;c
36;9;1d;d
37;10;2a;a
38;10;2b;b
39;10;2c;c
40;10;2d;d
41;11;3a;a
42;11;3b;b
43;11;3c;c
44;11;3d;d
45;12;4a;a
46;12;4b;b
47;12;4c;c
48;12;4d;d
