"tensio_id";"parzelle_id";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"messgenauigkeit_id";"zeit_messung"
1;17;49.19235;NA;30.9499;10;1596103206
2;30;53.9547;58.7825;38.6605;10;1596103206
3;17;51.86995;21.34785;43.4825;10;1596106806
4;30;58.10705;62.008;54.7375;10;1596106806
5;17;51.39315;30.2495;45.945;10;1596110406
6;30;57.4511;62.05;58.0975;10;1596110406
7;17;51.82945;35.33435;48.024;10;1596114006
8;30;57.20835;62.8405;60.0085;10;1596114006
9;17;50.87495;36.77735;48.569;10;1596117606
10;30;56.5487;62.3145;60.4755;10;1596117606
11;17;56.81795;54.26065;52.968;10;1596121206
12;30;61.83455;66.168;63.2985;10;1596121206
13;17;55.05835;54.3409;51.8775;10;1596124806
14;30;61.71385;65.3375;64.7015;10;1596124806
15;17;56.7016;53.26685;52.483;10;1596128407
16;30;61.5718;64.4035;63.0885;10;1596128407
17;17;53.974;47.25475;51.7365;10;1596132007
18;30;56.3443;63.2675;61.21;10;1596132007
19;17;50.87865;48.3909;53.028;10;1596135607
20;30;52.58415;63.3275;62.1075;10;1596135607
21;17;50.0428;56.3215;55.207;10;1596139207
22;30;51.40115;66.047;64.965;10;1596139207
23;17;49.16405;60.225;55.873;10;1596142807
24;30;50.03885;66.7985;66.2895;10;1596142807
25;17;48.76815;60.9595;54.8635;10;1596146407
26;30;49.8012;67.206;68.047;10;1596146407
27;17;48.4337;59.294;54.9245;10;1596150006
28;30;49.2001;67.205;67.9855;10;1596150006
29;17;47.88455;59.008;55.0455;10;1596153606
30;30;49.1199;67.165;68.598;10;1596153606
31;17;48.1701;58.316;55.3085;10;1596157206
32;30;49.5639;67.3475;68.9445;10;1596157206
33;17;47.6186;57.953;55.0655;10;1596160806
34;30;49.22125;67.084;68.516;10;1596160806
35;17;48.00955;58.5025;55.289;10;1596164406
36;30;49.8868;67.1245;69.3315;10;1596164406
37;17;47.71535;59.072;55.349;10;1596168006
38;30;50.22975;67.348;69.6795;10;1596168006
39;17;48.17375;59.6405;55.7125;10;1596171606
40;30;50.73255;67.4085;70.5785;10;1596171606
41;17;47.68965;59.215;55.4695;10;1596175207
42;30;50.4524;67.1845;69.413;10;1596175207
43;17;44.8909;53.6665;54.9255;10;1596178807
44;30;48.7234;65.6835;66.6375;10;1596178807
45;17;43.33235;50.61815;53.5735;10;1596182407
46;30;47.1979;63.897;64.2885;10;1596182407
47;17;41.9158;44.4987;52.6055;10;1596186007
48;30;46.092;62.9635;63.248;10;1596186007
49;17;41.0922;42.38415;52.161;10;1596189607
50;30;44.88855;61.8275;62.372;10;1596189607
51;17;40.3216;39.61765;51.839;10;1596193207
52;30;44.10465;61.3395;60.824;10;1596193207
53;17;39.9049;38.2558;52.1615;10;1596196806
54;30;43.6406;60.5075;60.1905;10;1596196806
55;17;40.14625;37.8078;53.091;10;1596200406
56;30;43.3609;60.446;59.9455;10;1596200406
57;17;41.58485;47.6287;55.2895;10;1596204006
58;30;44.5456;61.1155;61.5;10;1596204006
59;17;39.78135;37.30185;53.2715;10;1596207606
60;30;42.69835;59.2885;59.254;10;1596207606
61;17;39.5313;38.60195;52.7875;10;1596211206
62;30;42.61775;58.05;58.8665;10;1596211206
63;17;41.43555;46.1844;55.0075;10;1596214806
64;30;44.34625;59.309;59.291;10;1596214806
65;17;43.66935;44.76365;56.481;10;1596218406
