gemüsebetrieb;flaeche;datum_aussaat;lon;lat
Voll;Altrheinwiesen;;49.588548;8.386117
Voll;Mittelgewann;01.03.2023;49.602610;8.358164
Voll;Stichelpfad;;49.592548;8.329281
