m,s,parameter
86.2513697311512,20.6397415582344,T0020_nFK
88.1218940468518,17.2304718782052,T2040_nFK
90.4845924737778,12.9373723732389,T4060_nFK
86.6662129105418,20.4206592602529,T0020_nFK_Vortag
88.5932569604933,16.9558115867156,T2040_nFK_Vortag
90.7388530385139,12.7839598551563,T4060_nFK_Vortag
26.0077369439072,12.6628675611204,tage_seit_aussaat
18.2569973279893,4.68982887997856,Tmean_gradC
17.9027221108884,5.35978929635314,Tmean_th9_25_gradC
11.7773547094189,4.28714208457771,Tmin_gradC
24.4389445557781,5.77235884629927,Tmax_gradC
65.337231128924,11.1547654553649,relLuftfeuchte_mean_prozent
43.8113560454241,12.2976086040621,relLuftfeuchte_min_prozent
87.5680360721439,7.99919748422399,relLuftfeuchte_max_prozent
5377.94384435539,1766.33381688071,globalstrahlung_Wh_m2
1.21168670674682,0.43308541226535,windgeschwindigkeit_m_s
15.0145624582499,0.913762991965771,tageslicht_h
14.4962859051437,2.94590217514905,tageslicht_h_th9
442.687955911823,246.920147699122,Tmean_gradC_sum
424.247024048095,256.212479768197,Tmean_th9_25_gradC_sum
136848.730657983,66751.9802213702,globalstrahlung_Wh_m2_sum
30.7699398797603,27.2100109485455,niederschlag_mm_sum
379.087989311958,183.726644361339,tageslicht_h_sum
343.711556446227,183.132735681066,tageslicht_h_th9_sum
50,30,Ton_prozent
50,30,Schluff_prozent
50,30,Sand_prozent
1.20533333333333,0.307793870417633,C_org_prozent
2.53917027009536,1.49160636935631,ibi
17.9364633616815,4.28292581274577,irmi
3.37857833655708,6.12104416690099,wasser_input
3.37966784908096,6.12173051534809,wasser_input_Vortag
