m,s,parameter
76.877979621314,39.477330527882,B0020_nFK_prozent
77.8852607832643,33.2788747212793,B2040_nFK_prozent
79.5846027881151,26.4470152113374,B4060_nFK_prozent
77.648326473633,38.775055361138,B0020_nFK_prozent_Vortag
78.6438394207747,32.7534355225319,B2040_nFK_prozent_Vortag
79.9108433263826,26.186380368991,B4060_nFK_prozent_Vortag
25.2741799831791,11.7901573537105,tage_seit_aussaat
17.8916484440706,4.47829198206172,Tmean_gradC
17.5956125595739,5.07827482167774,Tmean_th9_25_gradC
11.7134847210541,4.11327759185414,Tmin_gradC
23.8705074292122,5.57334306671523,Tmax_gradC
67.5745836837676,11.7450171455846,relLuftfeuchte_mean_prozent
45.3322680123352,12.8720797204538,relLuftfeuchte_min_prozent
89.4595738716006,8.46176631787072,relLuftfeuchte_max_prozent
5267.79513316513,1788.89412722095,globalstrahlung_Wh_m2
1.32002242781048,0.60256867391853,windgeschwindigkeit_m_s
14.8750378469302,1.06587133734104,tageslicht_h
14.4370142977292,2.76323492937056,tageslicht_h_th9
451.252862349312,233.452232761892,Tmean_gradC_sum
432.682085786373,243.282617787926,Tmean_th9_25_gradC_sum
139819.60071769,63012.5631005891,globalstrahlung_Wh_m2_sum
33.5498430053274,26.8061081862746,niederschlag_mm_sum
389.586689094477,173.823774204632,tageslicht_h_sum
354.271954022989,172.032920821258,tageslicht_h_th9_sum
15.4603187552555,11.5685851595889,Ton_prozent
38.0823195963001,0.285279056570653,Schluff_prozent
46.4475811606406,11.8654511806422,Sand_prozent
1.20533333333333,0.307793870417633,C_org_prozent
2.29721866693941,1.4938867573862,ibi
16.9620328772462,4.14641978487115,irmi
3.3742472666106,6.16106147562461,wasser_input
3.45690776562938,6.21934818204394,wasser_input_Vortag
