tage_seit_aussaat,depth,predicted_nFK
36,nFK_4050,93.37
36,nFK_5060,102.01
37,nFK_0010,58.03
37,nFK_1020,67.97
37,nFK_2030,74.38
37,nFK_3040,86.64
37,nFK_4050,91.29
37,nFK_5060,100.73
38,nFK_0010,55.04
38,nFK_1020,65.01
38,nFK_2030,71.43
38,nFK_3040,83.7
38,nFK_4050,89.04
38,nFK_5060,99.26
39,nFK_0010,55
39,nFK_1020,64.9
39,nFK_2030,71.24
39,nFK_3040,83.36
39,nFK_4050,88.8
39,nFK_5060,99.06
40,nFK_0010,54.83
40,nFK_1020,64.67
40,nFK_2030,70.99
40,nFK_3040,83.05
40,nFK_4050,88.53
40,nFK_5060,98.82
