tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,88.8
1,nFK_1020,59.4
1,nFK_2030,49.9
1,nFK_3040,43.4
1,nFK_4050,55.8
1,nFK_5060,68.4
2,nFK_0010,77.29
2,nFK_1020,63.31
2,nFK_2030,49.32
2,nFK_3040,56.01
2,nFK_4050,62.69
2,nFK_5060,69.38
3,nFK_0010,68.53
3,nFK_1020,58.31
3,nFK_2030,48.09
3,nFK_3040,55.38
3,nFK_4050,62.68
3,nFK_5060,69.97
4,nFK_0010,61.57
4,nFK_1020,54.07
4,nFK_2030,46.56
4,nFK_3040,54.48
4,nFK_4050,62.4
4,nFK_5060,70.32
5,nFK_0010,54.02
5,nFK_1020,49.28
5,nFK_2030,44.54
5,nFK_3040,53.15
5,nFK_4050,61.77
5,nFK_5060,70.38
6,nFK_0010,40.91
6,nFK_1020,41.58
6,nFK_2030,42.26
6,nFK_3040,51.68
6,nFK_4050,61.11
6,nFK_5060,70.54
7,nFK_0010,31.28
7,nFK_1020,35.75
7,nFK_2030,40.22
7,nFK_3040,50.41
7,nFK_4050,60.6
7,nFK_5060,70.79
8,nFK_0010,43.02
8,nFK_1020,41.04
8,nFK_2030,39.06
8,nFK_3040,49.59
8,nFK_4050,60.12
8,nFK_5060,70.65
9,nFK_0010,55.39
9,nFK_1020,46.89
9,nFK_2030,38.39
9,nFK_3040,49.05
9,nFK_4050,59.72
9,nFK_5060,70.39
10,nFK_0010,62.68
10,nFK_1020,51.49
10,nFK_2030,40.31
10,nFK_3040,50.58
10,nFK_4050,60.85
10,nFK_5060,71.12
11,nFK_0010,56.54
11,nFK_1020,47.99
11,nFK_2030,39.44
11,nFK_3040,49.9
11,nFK_4050,60.37
11,nFK_5060,70.83
12,nFK_0010,51.34
12,nFK_1020,44.99
12,nFK_2030,38.64
12,nFK_3040,49.27
12,nFK_4050,59.9
12,nFK_5060,70.54
13,nFK_0010,45.85
13,nFK_1020,41.82
13,nFK_2030,37.78
13,nFK_3040,48.63
13,nFK_4050,59.47
13,nFK_5060,70.32
14,nFK_0010,40.1
14,nFK_1020,38.55
14,nFK_2030,37
14,nFK_3040,48.06
14,nFK_4050,59.12
14,nFK_5060,70.18
