tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,100
1,nFK_1020,100
1,nFK_2030,100
1,nFK_3040,100
1,nFK_4050,100
1,nFK_5060,100
2,nFK_0010,94.52
2,nFK_1020,97.59
2,nFK_2030,98.28
2,nFK_3040,99.66
2,nFK_4050,96.85
2,nFK_5060,95.43
3,nFK_0010,98.53
3,nFK_1020,100.97
3,nFK_2030,101.11
3,nFK_3040,101.25
3,nFK_4050,97.93
3,nFK_5060,95.62
4,nFK_0010,101.58
4,nFK_1020,103.51
4,nFK_2030,103.15
4,nFK_3040,102.4
4,nFK_4050,98.72
4,nFK_5060,95.74
5,nFK_0010,95.68
5,nFK_1020,98.54
5,nFK_2030,99.02
5,nFK_3040,100.06
5,nFK_4050,97.13
5,nFK_5060,95.47
6,nFK_0010,95.22
6,nFK_1020,98.13
6,nFK_2030,98.66
6,nFK_3040,99.77
6,nFK_4050,96.9
6,nFK_5060,95.35
7,nFK_0010,94.47
7,nFK_1020,97.72
7,nFK_2030,98.54
7,nFK_3040,100.13
7,nFK_4050,97.49
7,nFK_5060,96.31
8,nFK_0010,93.41
8,nFK_1020,96.82
8,nFK_2030,97.74
8,nFK_3040,99.65
8,nFK_4050,97.15
8,nFK_5060,96.22
9,nFK_0010,94.55
9,nFK_1020,97.8
9,nFK_2030,98.58
9,nFK_3040,100.18
9,nFK_4050,97.56
9,nFK_5060,96.41
10,nFK_0010,97.36
10,nFK_1020,100.13
10,nFK_2030,100.52
10,nFK_3040,101.24
10,nFK_4050,98.24
10,nFK_5060,96.43
11,nFK_0010,98.67
11,nFK_1020,101.21
11,nFK_2030,101.39
11,nFK_3040,101.69
11,nFK_4050,98.53
11,nFK_5060,96.43
12,nFK_0010,99.29
12,nFK_1020,101.67
12,nFK_2030,101.74
12,nFK_3040,101.79
12,nFK_4050,98.54
12,nFK_5060,96.26
13,nFK_0010,101.49
13,nFK_1020,103.52
13,nFK_2030,103.26
13,nFK_3040,102.65
13,nFK_4050,99.1
13,nFK_5060,96.3
14,nFK_0010,100.19
14,nFK_1020,102.53
14,nFK_2030,102.54
14,nFK_3040,102.43
14,nFK_4050,99.14
14,nFK_5060,96.75
15,nFK_0010,100.75
15,nFK_1020,103.03
15,nFK_2030,102.98
15,nFK_3040,102.77
15,nFK_4050,99.47
15,nFK_5060,97.06
16,nFK_0010,99.5
16,nFK_1020,101.97
16,nFK_2030,102.08
16,nFK_3040,102.22
16,nFK_4050,99.06
16,nFK_5060,96.92
17,nFK_0010,99.93
17,nFK_1020,102.33
17,nFK_2030,102.4
17,nFK_3040,102.41
17,nFK_4050,99.22
17,nFK_5060,97.01
18,nFK_0010,96.9
18,nFK_1020,99.87
18,nFK_2030,100.42
18,nFK_3040,101.44
18,nFK_4050,98.75
18,nFK_5060,97.35
19,nFK_0010,94.55
19,nFK_1020,97.92
19,nFK_2030,98.81
19,nFK_3040,100.55
19,nFK_4050,98.22
19,nFK_5060,97.42
20,nFK_0010,92.4
20,nFK_1020,96.2
20,nFK_2030,97.42
20,nFK_3040,99.93
20,nFK_4050,97.99
20,nFK_5060,97.85
21,nFK_0010,89.86
21,nFK_1020,94.24
21,nFK_2030,95.93
21,nFK_3040,99.44
21,nFK_4050,97.93
21,nFK_5060,98.55
22,nFK_0010,86.72
22,nFK_1020,91.65
22,nFK_2030,93.79
22,nFK_3040,98.24
22,nFK_4050,97.25
22,nFK_5060,98.7
23,nFK_0010,82.95
23,nFK_1020,88.61
23,nFK_2030,91.36
23,nFK_3040,97.05
23,nFK_4050,96.73
23,nFK_5060,99.21
24,nFK_0010,82.98
24,nFK_1020,88.7
24,nFK_2030,91.5
24,nFK_3040,97.27
24,nFK_4050,97.01
24,nFK_5060,99.64
25,nFK_0010,81.91
25,nFK_1020,87.95
25,nFK_2030,91.01
25,nFK_3040,97.3
25,nFK_4050,97.28
25,nFK_5060,100.29
26,nFK_0010,81.89
26,nFK_1020,87.86
26,nFK_2030,90.87
26,nFK_3040,97
26,nFK_4050,97
26,nFK_5060,99.97
27,nFK_0010,83.63
27,nFK_1020,89.31
27,nFK_2030,92.06
27,nFK_3040,97.63
27,nFK_4050,97.42
27,nFK_5060,100.02
28,nFK_0010,80.82
28,nFK_1020,86.97
28,nFK_2030,90.12
28,nFK_3040,96.56
28,nFK_4050,96.78
28,nFK_5060,100.15
29,nFK_0010,78.76
29,nFK_1020,85.31
29,nFK_2030,88.78
29,nFK_3040,95.83
29,nFK_4050,96.46
29,nFK_5060,100.47
30,nFK_0010,78.31
30,nFK_1020,85.13
30,nFK_2030,88.78
30,nFK_3040,96.18
30,nFK_4050,97.03
30,nFK_5060,101.33
31,nFK_0010,77.33
31,nFK_1020,84.34
31,nFK_2030,88.15
31,nFK_3040,95.9
31,nFK_4050,96.92
31,nFK_5060,101.52
