tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,100
1,nFK_1020,100
1,nFK_2030,100
1,nFK_3040,100
1,nFK_4050,100
1,nFK_5060,100
2,nFK_0010,89.65
2,nFK_1020,93.9
2,nFK_2030,98.15
2,nFK_3040,98.61
2,nFK_4050,99.07
2,nFK_5060,99.53
3,nFK_0010,105.76
3,nFK_1020,104.53
3,nFK_2030,103.29
3,nFK_3040,102.12
3,nFK_4050,100.96
3,nFK_5060,99.79
4,nFK_0010,101.19
4,nFK_1020,102.4
4,nFK_2030,103.61
4,nFK_3040,102.55
4,nFK_4050,101.5
4,nFK_5060,100.45
5,nFK_0010,90.58
5,nFK_1020,95.52
5,nFK_2030,100.47
5,nFK_3040,100.39
5,nFK_4050,100.31
5,nFK_5060,100.23
6,nFK_0010,83.49
6,nFK_1020,91.02
6,nFK_2030,98.54
6,nFK_3040,98.99
6,nFK_4050,99.43
6,nFK_5060,99.88
7,nFK_0010,78.68
7,nFK_1020,87.49
7,nFK_2030,96.29
7,nFK_3040,97.36
7,nFK_4050,98.43
7,nFK_5060,99.5
8,nFK_0010,70.6
8,nFK_1020,82.5
8,nFK_2030,94.39
8,nFK_3040,95.96
8,nFK_4050,97.53
8,nFK_5060,99.1
9,nFK_0010,62.25
9,nFK_1020,77.42
9,nFK_2030,92.58
9,nFK_3040,94.63
9,nFK_4050,96.67
9,nFK_5060,98.72
10,nFK_0010,58.63
10,nFK_1020,74.66
10,nFK_2030,90.68
10,nFK_3040,93.21
10,nFK_4050,95.74
10,nFK_5060,98.28
11,nFK_0010,50.75
11,nFK_1020,69.94
11,nFK_2030,89.14
11,nFK_3040,92.02
11,nFK_4050,94.9
11,nFK_5060,97.78
12,nFK_0010,56.21
12,nFK_1020,71.84
12,nFK_2030,87.47
12,nFK_3040,90.67
12,nFK_4050,93.87
12,nFK_5060,97.07
13,nFK_0010,57.72
13,nFK_1020,71.79
13,nFK_2030,85.85
13,nFK_3040,89.36
13,nFK_4050,92.87
13,nFK_5060,96.38
14,nFK_0010,72.38
14,nFK_1020,78.61
14,nFK_2030,84.84
14,nFK_3040,88.45
14,nFK_4050,92.06
14,nFK_5060,95.66
15,nFK_0010,70.75
15,nFK_1020,77.27
15,nFK_2030,83.78
15,nFK_3040,87.61
15,nFK_4050,91.45
15,nFK_5060,95.28
16,nFK_0010,70.94
16,nFK_1020,76.8
16,nFK_2030,82.66
16,nFK_3040,86.62
16,nFK_4050,90.57
16,nFK_5060,94.52
17,nFK_0010,69.2
17,nFK_1020,75.19
17,nFK_2030,81.19
17,nFK_3040,85.31
17,nFK_4050,89.44
17,nFK_5060,93.57
18,nFK_0010,63.5
18,nFK_1020,71.71
18,nFK_2030,79.92
18,nFK_3040,84.09
18,nFK_4050,88.27
18,nFK_5060,92.45
19,nFK_0010,56.35
19,nFK_1020,67.46
19,nFK_2030,78.58
19,nFK_3040,82.96
19,nFK_4050,87.35
19,nFK_5060,91.74
20,nFK_0010,48.6
20,nFK_1020,62.96
20,nFK_2030,77.33
20,nFK_3040,81.97
20,nFK_4050,86.62
20,nFK_5060,91.26
21,nFK_0010,41.84
21,nFK_1020,58.99
21,nFK_2030,76.15
21,nFK_3040,81.05
21,nFK_4050,85.96
21,nFK_5060,90.86
22,nFK_0010,33.78
22,nFK_1020,54.37
22,nFK_2030,74.96
22,nFK_3040,80.17
22,nFK_4050,85.38
22,nFK_5060,90.59
23,nFK_0010,25.6
23,nFK_1020,49.65
23,nFK_2030,73.7
23,nFK_3040,79.27
23,nFK_4050,84.85
23,nFK_5060,90.42
24,nFK_0010,19.34
24,nFK_1020,45.88
24,nFK_2030,72.41
24,nFK_3040,78.37
24,nFK_4050,84.32
24,nFK_5060,90.27
25,nFK_0010,12.77
25,nFK_1020,41.95
25,nFK_2030,71.14
25,nFK_3040,77.49
25,nFK_4050,83.85
25,nFK_5060,90.2
26,nFK_0010,8.47
26,nFK_1020,39.36
26,nFK_2030,70.25
26,nFK_3040,76.92
26,nFK_4050,83.59
26,nFK_5060,90.26
27,nFK_0010,6.52
27,nFK_1020,38.17
27,nFK_2030,69.82
27,nFK_3040,76.65
27,nFK_4050,83.49
27,nFK_5060,90.32
28,nFK_0010,5.71
28,nFK_1020,37.65
28,nFK_2030,69.6
28,nFK_3040,76.52
28,nFK_4050,83.44
28,nFK_5060,90.36
29,nFK_0010,3.8
29,nFK_1020,36.65
29,nFK_2030,69.5
29,nFK_3040,76.49
29,nFK_4050,83.49
29,nFK_5060,90.49
30,nFK_0010,2.87
30,nFK_1020,36.17
30,nFK_2030,69.46
30,nFK_3040,76.52
30,nFK_4050,83.58
30,nFK_5060,90.64
31,nFK_0010,2.09
31,nFK_1020,35.79
31,nFK_2030,69.49
31,nFK_3040,76.6
31,nFK_4050,83.72
31,nFK_5060,90.84
32,nFK_0010,1.77
32,nFK_1020,35.64
32,nFK_2030,69.5
32,nFK_3040,76.69
32,nFK_4050,83.88
32,nFK_5060,91.07
