tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,104.26
1,nFK_1020,105.08
1,nFK_2030,103.89
1,nFK_3040,101.79
1,nFK_4050,97.52
1,nFK_5060,93.14
2,nFK_0010,104.31
2,nFK_1020,104.64
2,nFK_2030,103.09
2,nFK_3040,100.45
2,nFK_4050,95.96
2,nFK_5060,91.05
3,nFK_0010,103.69
3,nFK_1020,103.98
3,nFK_2030,102.4
3,nFK_3040,99.71
3,nFK_4050,95.15
3,nFK_5060,90.18
4,nFK_0010,103.6
4,nFK_1020,103.94
4,nFK_2030,102.39
4,nFK_3040,99.72
4,nFK_4050,95.15
4,nFK_5060,90.24
5,nFK_0010,103.34
5,nFK_1020,103.38
5,nFK_2030,101.64
5,nFK_3040,98.73
5,nFK_4050,94.06
5,nFK_5060,88.9
6,nFK_0010,102.97
6,nFK_1020,102.91
6,nFK_2030,101.12
6,nFK_3040,98.14
6,nFK_4050,93.43
6,nFK_5060,88.16
7,nFK_0010,102.43
7,nFK_1020,102.32
7,nFK_2030,100.51
7,nFK_3040,97.56
7,nFK_4050,92.86
7,nFK_5060,87.57
8,nFK_0010,102.46
8,nFK_1020,102.33
8,nFK_2030,100.47
8,nFK_3040,97.43
8,nFK_4050,92.66
8,nFK_5060,87.28
9,nFK_0010,101.1
9,nFK_1020,101.15
9,nFK_2030,99.49
9,nFK_3040,96.82
9,nFK_4050,92.18
9,nFK_5060,87
10,nFK_0010,94.24
10,nFK_1020,96.17
10,nFK_2030,96.18
10,nFK_3040,96.49
10,nFK_4050,92.92
10,nFK_5060,89.86
11,nFK_0010,101.98
11,nFK_1020,102.1
11,nFK_2030,100.47
11,nFK_3040,97.73
11,nFK_4050,93.13
11,nFK_5060,88.14
12,nFK_0010,103.26
12,nFK_1020,103.26
12,nFK_2030,101.47
12,nFK_3040,98.48
12,nFK_4050,93.76
12,nFK_5060,88.48
13,nFK_0010,97.45
13,nFK_1020,98.62
13,nFK_2030,97.98
13,nFK_3040,97.09
13,nFK_4050,93.09
13,nFK_5060,89.12
14,nFK_0010,97.51
14,nFK_1020,98.77
14,nFK_2030,98.16
