tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,100
1,nFK_1020,100
1,nFK_2030,100
1,nFK_3040,100
1,nFK_4050,100
1,nFK_5060,100
2,nFK_0010,88.32
2,nFK_1020,93.05
2,nFK_2030,97.78
2,nFK_3040,98.4
2,nFK_4050,99.03
2,nFK_5060,99.66
3,nFK_0010,80.75
3,nFK_1020,88.01
3,nFK_2030,95.27
3,nFK_3040,96.62
3,nFK_4050,97.97
3,nFK_5060,99.32
4,nFK_0010,70.48
4,nFK_1020,81.66
4,nFK_2030,92.85
4,nFK_3040,94.89
4,nFK_4050,96.93
4,nFK_5060,98.97
5,nFK_0010,62.28
5,nFK_1020,76.43
5,nFK_2030,90.59
5,nFK_3040,93.26
5,nFK_4050,95.92
5,nFK_5060,98.59
6,nFK_0010,50.94
6,nFK_1020,69.91
6,nFK_2030,88.89
6,nFK_3040,91.97
6,nFK_4050,95.05
6,nFK_5060,98.13
7,nFK_0010,41.96
7,nFK_1020,64.78
7,nFK_2030,87.59
7,nFK_3040,90.92
7,nFK_4050,94.25
7,nFK_5060,97.57
8,nFK_0010,59.79
8,nFK_1020,72.96
8,nFK_2030,86.14
8,nFK_3040,89.76
8,nFK_4050,93.39
8,nFK_5060,97.02
9,nFK_0010,79.29
9,nFK_1020,83.1
9,nFK_2030,86.92
9,nFK_3040,90.35
9,nFK_4050,93.77
9,nFK_5060,97.2
10,nFK_0010,87.4
10,nFK_1020,89.73
10,nFK_2030,92.06
10,nFK_3040,94.05
10,nFK_4050,96.04
10,nFK_5060,98.03
11,nFK_0010,94.55
11,nFK_1020,97.05
11,nFK_2030,99.56
11,nFK_3040,99.57
11,nFK_4050,99.58
11,nFK_5060,99.6
