tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,98.8
1,nFK_1020,69.4
1,nFK_2030,59.9
1,nFK_3040,53.4
1,nFK_4050,65.8
1,nFK_5060,78.4
2,nFK_0010,85.2
2,nFK_1020,73.17
2,nFK_2030,61.13
2,nFK_3040,66.93
2,nFK_4050,72.73
2,nFK_5060,78.53
3,nFK_0010,76.54
3,nFK_1020,68.73
3,nFK_2030,60.92
3,nFK_3040,66.83
3,nFK_4050,72.74
3,nFK_5060,78.65
4,nFK_0010,69.18
4,nFK_1020,64.73
4,nFK_2030,60.28
4,nFK_3040,66.4
4,nFK_4050,72.53
4,nFK_5060,78.65
5,nFK_0010,65.81
5,nFK_1020,62.46
5,nFK_2030,59.11
5,nFK_3040,65.55
5,nFK_4050,71.98
5,nFK_5060,78.42
6,nFK_0010,52.92
6,nFK_1020,55.57
6,nFK_2030,58.23
6,nFK_3040,64.94
6,nFK_4050,71.65
6,nFK_5060,78.35
7,nFK_0010,42.15
7,nFK_1020,49.81
7,nFK_2030,57.48
7,nFK_3040,64.46
7,nFK_4050,71.44
7,nFK_5060,78.42
8,nFK_0010,74.92
8,nFK_1020,66.1
8,nFK_2030,57.27
8,nFK_3040,64.25
8,nFK_4050,71.23
8,nFK_5060,78.21
9,nFK_0010,97.37
9,nFK_1020,83.43
9,nFK_2030,69.49
9,nFK_3040,72.2
9,nFK_4050,74.92
9,nFK_5060,77.64
10,nFK_0010,90.89
10,nFK_1020,81.55
10,nFK_2030,72.21
10,nFK_3040,73.91
10,nFK_4050,75.61
10,nFK_5060,77.31
11,nFK_0010,91.16
11,nFK_1020,82.27
11,nFK_2030,73.39
11,nFK_3040,74.6
11,nFK_4050,75.81
11,nFK_5060,77.03
12,nFK_0010,87.24
12,nFK_1020,80.38
12,nFK_2030,73.51
12,nFK_3040,74.57
12,nFK_4050,75.64
12,nFK_5060,76.7
13,nFK_0010,82.5
13,nFK_1020,77.79
13,nFK_2030,73.09
13,nFK_3040,74.26
13,nFK_4050,75.44
13,nFK_5060,76.61
14,nFK_0010,78.52
14,nFK_1020,75.44
14,nFK_2030,72.36
14,nFK_3040,73.75
14,nFK_4050,75.14
14,nFK_5060,76.53
15,nFK_0010,97.05
15,nFK_1020,90.31
15,nFK_2030,83.56
15,nFK_3040,81.32
15,nFK_4050,79.07
15,nFK_5060,76.82
16,nFK_0010,98.37
16,nFK_1020,95.63
16,nFK_2030,92.89
16,nFK_3040,87.64
16,nFK_4050,82.4
16,nFK_5060,77.16
17,nFK_0010,89.83
17,nFK_1020,90.38
17,nFK_2030,90.94
17,nFK_3040,86.39
17,nFK_4050,81.83
17,nFK_5060,77.28
18,nFK_0010,83.59
18,nFK_1020,86.16
18,nFK_2030,88.73
18,nFK_3040,84.96
18,nFK_4050,81.19
18,nFK_5060,77.42
19,nFK_0010,77.87
19,nFK_1020,82.44
19,nFK_2030,87.01
19,nFK_3040,83.87
19,nFK_4050,80.73
19,nFK_5060,77.6
